	protein	gene
BSU00690	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-) (Cell division protease FtsH)	ftsH BSU00690
BSU00700	Type III pantothenate kinase (EC 2.7.1.33) (PanK-III) (Pantothenic acid kinase)	coaX coaA yacB BSU00700
BSU00710	33 kDa chaperonin (Heat shock protein 33 homolog) (HSP33)	hslO yacC BSU00710
BSU00720	Putative peptidyl-prolyl cis-trans isomerase YacD (PPIase YacD) (EC 5.2.1.8) (Rotamase YacD)	yacD BSU00720
BSU00730	Cysteine synthase (CSase) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase) (OAS-TL) (Superoxide-inducible protein 11) (SOI11)	cysK BSU00730
BSU00740	Aminodeoxychorismate synthase component 1 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 1)	pabB pab BSU00740
BSU00750	Aminodeoxychorismate/anthranilate synthase component 2 (ADC synthase) (ADCS) (EC 2.6.1.85) (EC 4.1.3.27) (4-amino-4-deoxychorismate synthase component 2) (Aminodeoxychorismate synthase, glutamine amidotransferase component)	pabA trpG BSU00750
BSU00760	Aminodeoxychorismate lyase (EC 4.1.3.38) (4-amino-4-deoxychorismate lyase) (ADC lyase) (ADCL)	pabC BSU00760
BSU00770	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	sul BSU00770
BSU00780	Dihydroneopterin aldolase (DHNA) (EC 4.1.2.25) (7,8-dihydroneopterin aldolase)	folB folA yacE BSU00780
BSU00790	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3) (6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase) (PPPK) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase) (HPPK)	folK BSU00790
BSU00800	Uncharacterized HTH-type transcriptional regulator YazB	yazB BSU00800
BSU00810	Probable tRNA-dihydrouridine synthase 1 (EC 1.3.1.-)	dus1 yacF BSU00810
BSU00820	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	lysS BSU00820
BSU00830	Transcriptional regulator CtsR (Class three stress gene repressor)	ctsR yacG BSU00830
BSU00840	Protein-arginine kinase activator protein	mcsA yacH BSU00840
BSU00850	Protein-arginine kinase (EC 2.7.14.1)	mcsB yacI BSU00850
BSU00860	Negative regulator of genetic competence ClpC/MecB	clpC mecB BSU00860
BSU00870	DNA repair protein RadA (EC 3.6.4.-) (Branch migration protein RadA) (DNA repair protein Sms)	radA orf5 sms yacJ BSU00870
BSU00880	DNA integrity scanning protein DisA (Cyclic di-AMP synthase) (c-di-AMP synthase) (Diadenylate cyclase) (DAC) (EC 2.7.7.85)	disA comY orf6 yacK BSU00880
BSU00890	Uncharacterized PIN and TRAM-domain containing protein YacL (Putative RNase YacL) (EC 3.1.-.-)	yacL BSU00890
BSU00900	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT)	ispD yacM BSU00900
BSU00910	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)	ispF yacN BSU00910
BSU00920	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)	gltX BSU00920
BSU00930	Serine acetyltransferase (SAT) (EC 2.3.1.30)	cysE cysA BSU00930
BSU00940	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	cysS spnA BSU00940
BSU00950	Mini-ribonuclease 3 (Mini-3) (Mini-RNase 3) (EC 3.1.26.-) (Mini-RNase III) (Mini-III)	mrnC yazC BSU00950
BSU00960	Putative TrmH family tRNA/rRNA methyltransferase YacO (EC 2.1.1.-)	yacO BSU00960
BSU00970	Uncharacterized protein YacP	yacP BSU00970
BSU00980	RNA polymerase sigma-H factor (Sigma-30) (Stage 0 sporulation protein H)	sigH spo0H BSU00980
BSU00990	50S ribosomal protein L33 2	rpmGB rpmG rpmG2 BSU00990
BSU01000	Protein translocase subunit SecE	secE BSU01000
BSU01010	Transcription termination/antitermination protein NusG	nusG BSU01010
BSU01020	50S ribosomal protein L11 (BL11)	rplK relC tsp6 BSU01020
BSU01030	50S ribosomal protein L1 (BL1)	rplA BSU01030
BSU01040	50S ribosomal protein L10 (BL5) (Cold acclimatization protein) (CAP) (Vegetative protein 300) (VEG300)	rplJ BSU01040
BSU01050	50S ribosomal protein L7/L12 (BL9) (Vegetative protein 341) (VEG341)	rplL BSU01050
BSU01060	Uncharacterized protein YbxB (ORF23) (P23)	ybxB ybaA BSU01060
BSU01070	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB crsE rfm BSU01070
BSU01080	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC lpm std BSU01080
BSU01090	Ribosome-associated protein L7Ae-like	rplGB ybaB ybxF BSU01090
BSU01100	30S ribosomal protein S12 (BS12)	rpsL fun strA BSU01100
BSU01110	30S ribosomal protein S7 (BS7)	rpsG BSU01110
BSU01120	Elongation factor G (EF-G) (Vegetative protein 19) (VEG19)	fusA fus BSU01120
BSU01130	Elongation factor Tu (EF-Tu) (P-40)	tuf tufA BSU01130
BSU01140	Probable aminopeptidase YbaC (EC 3.4.11.-)	ybaC BSU01140
BSU01150	30S ribosomal protein S10 (BS13)	rpsJ tetA BSU01150
BSU01160	50S ribosomal protein L3 (BL3)	rplC BSU01160
BSU01170	50S ribosomal protein L4	rplD BSU01170
BSU01180	50S ribosomal protein L23	rplW BSU01180
BSU01190	50S ribosomal protein L2 (BL2)	rplB BSU01190
BSU01200	30S ribosomal protein S19 (BS19)	rpsS BSU01200
BSU01210	50S ribosomal protein L22	rplV BSU01210
BSU01220	30S ribosomal protein S3 (BS3) (BS2)	rpsC BSU01220
BSU01230	50S ribosomal protein L16	rplP BSU01230
BSU01240	50S ribosomal protein L29	rpmC BSU01240
BSU01250	30S ribosomal protein S17 (BS16)	rpsQ BSU01250
BSU01260	50S ribosomal protein L14	rplN BSU01260
BSU01270	50S ribosomal protein L24 (12 kDa DNA-binding protein) (BL23) (HPB12)	rplX BSU01270
BSU01280	50S ribosomal protein L5 (BL6)	rplE BSU01280
BSU01290	30S ribosomal protein S14 (30S ribosomal protein S14 type Z) (30S ribosomal protein S14-1) (BS-A)	rpsN1 rpsN rpsNA rpsZ BSU01290
BSU01300	30S ribosomal protein S8 (BS8)	rpsH BSU01300
BSU01310	50S ribosomal protein L6 (BL10)	rplF BSU01310
BSU01320	50S ribosomal protein L18 (BL16)	rplR BSU01320
BSU01330	30S ribosomal protein S5 (BS5)	rpsE spcA BSU01330
BSU01340	50S ribosomal protein L30 (BL27)	rpmD BSU01340
BSU01350	50S ribosomal protein L15	rplO BSU01350
BSU01360	Protein translocase subunit SecY	secY BSU01360
BSU01370	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Superoxide-inducible protein 16) (SOI16)	adk BSU01370
BSU01380	Methionine aminopeptidase 1 (MAP 1) (MetAP 1) (EC 3.4.11.18) (Peptidase M)	map BSU01380
BSU01389	Putative ribosome-binding protein YbzG	ybzG BSU01389
BSU01390	Translation initiation factor IF-1	infA BSU01390
BSU01400	50S ribosomal protein L36 (BL38) (Ribosomal protein B) (Ribosomal protein II)	rpmJ BSU01400
BSU01410	30S ribosomal protein S13 (BS14)	rpsM BSU01410
BSU01420	30S ribosomal protein S11 (BS11)	rpsK BSU01420
BSU01430	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)	rpoA BSU01430
BSU01440	50S ribosomal protein L17 (BL15) (BL21)	rplQ BSU01440
BSU01450	Energy-coupling factor transporter ATP-binding protein EcfA1 (ECF transporter A component EcfA) (EC 7.-.-.-)	ecfA cbiO1 ybaD ybxA BSU01450
BSU01460	Energy-coupling factor transporter ATP-binding protein EcfA2 (ECF transporter A component EcfA2) (EC 7.-.-.-) (ECF transporter A component EcfA')	ecfAB cbiO2 ecfA' ybaE BSU01460
BSU01470	Energy-coupling factor transporter transmembrane protein EcfT (ECF transporter T component EcfT)	ecfT ybaF BSU01470
BSU01480	tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)	truA ybaH BSU01480
BSU01490	50S ribosomal protein L13	rplM BSU01490
BSU01500	30S ribosomal protein S9 (BS10)	rpsI BSU01500
BSU01510	Uncharacterized methyltransferase YbaJ	ybaJ BSU01510
BSU01520	Uncharacterized protein YbaK	ybaK ybxH BSU01520
BSU01530	Germination-specific N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) (Autolysin) (Cell wall hydrolase)	cwlD BSU01530
BSU01540	Iron-sulfur cluster carrier protein	salA mrp rec233 ybaL ybxI BSU01540
BSU01550	Spore germination protein GerD	gerD BSU01550
BSU01560	KinB-signaling pathway activation protein	kbaA ybaM ybxC BSU01560
BSU01570	Probable polysaccharide deacetylase PdaB (EC 3.-.-.-)	pdaB ybaN ybxG BSU01570
BSU01580	Putative sulfate transporter YbaR	ybaR BSU01580
BSU01590	Uncharacterized protein YbaS	ybaS BSU01590
BSU01600	Uncharacterized protein YbbA	ybbA BSU01600
BSU01610	Iron-uptake system permease protein FeuC	feuC BSU01610
BSU01620	Iron-uptake system permease protein FeuB	feuB BSU01620
BSU01630	Iron-uptake system-binding protein	feuA BSU01630
BSU01640	HTH-type transcriptional activator Btr (Bacillibactin transport regulator)	btr ybbB yzbC BSU01640
BSU01650	Uncharacterized protein YbbC (ORF2)	ybbC yzbB BSU01650
BSU01660	Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase) (N-acetylglucosaminidase) (ORF1)	nagZ ybbD yzbA BSU01660
BSU01670	N-acetylmuramyl-L-alanine amidase (EC 3.5.1.28)	amiE ybbE BSU01670
BSU01680	Putative PTS system EIIBC component YbbF [Includes: Phosphotransferase enzyme IIB component (EC 2.7.1.-) (PTS system EIIB component); Permease IIC component (PTS system EIIC component)]	ybbF BSU01680
BSU01690	Uncharacterized HTH-type transcriptional regulator YbbH	ybbH BSU01690
BSU01700	N-acetylmuramic acid 6-phosphate etherase (MurNAc-6-P etherase) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase) (N-acetylmuramic acid 6-phosphate lyase)	murQ ybbI BSU01700
BSU01710	Uncharacterized N-acetyltransferase YbbJ (EC 2.3.1.-)	ybbJ BSU01710
BSU01720	Uncharacterized protein YbbK	ybbK BSU01720
BSU01730	ECF RNA polymerase sigma factor SigW (ECF sigma factor SigW) (Alternative RNA polymerase sigma factor SigW) (RNA polymerase sigma-W factor) (Sigma-W factor)	sigW ybbL BSU01730
BSU01740	Anti-sigma-W factor RsiW (Regulator of SigW) (Sigma-W anti-sigma factor RsiW)	rsiW ybbM BSU01740
BSU01750	Cyclic di-AMP synthase CdaA (c-di-AMP synthase) (EC 2.7.7.85) (Diadenylate cyclase) (DAC)	cdaA ybbP BSU01750
BSU01760	CdaA regulatory protein CdaR (YbbR-like domain-containing protein YbbR) (c-di-AMP synthase A regulator)	cdaR ybbR BSU01760
BSU01770	Phosphoglucosamine mutase (EC 5.4.2.10)	glmM ybbT BSU01770
BSU01780	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	glmS gcaA ybxD BSU01780
BSU01790	NA	NA
BSU01800	DNA-3-methyladenine glycosylase (EC 3.2.2.21) (3-methyladenine-DNA glycosidase)	alkA BSU01800
BSU01810	Bifunctional transcriptional activator/DNA repair enzyme AdaA (Methylphosphotriester-DNA methyltransferase) (Methylphosphotriester-DNA--protein-cysteine S-methyltransferase) (EC 2.1.1.n11)	adaA BSU01810
BSU01820	Methylated-DNA--protein-cysteine methyltransferase, inducible (EC 2.1.1.63) (O-6-methylguanine-DNA alkyltransferase) (O6-methylguanine-DNA methyltransferase) (MGMT)	adaB BSU01820
BSU01830	Probable inorganic carbon transporter subunit DabB	dabB ndhF ybxE BSU01830
BSU01845	Probable inorganic carbon transporter subunit DabA	dabA ybcC BSU01845 BSU01840
BSU01860	Putative carbonic anhydrase-like protein YbcF	ybcF BSU01860
BSU01870	Uncharacterized protein YbcH	ybcH BSU01870
BSU01880	Uncharacterized protein YbcI	ybcI BSU01880
BSU01889	Uncharacterized HTH-type transcriptional regulator YbzH	ybzH BSU01889
BSU01890	Uncharacterized MFS-type transporter YbcL	ybcL BSU01890
BSU01900	Uncharacterized protein YbcM	ybcM BSU01900
BSU01910	Sporulation killing factor (SKF) (Sporulation-killing factor SkfA)	skfA ybcO BSU01910
BSU01920	Sporulation killing factor maturation protein SkfB (EC 1.21.98.-)	skfB ybcP ybcQ BSU01920
BSU01935	Sporulation-killing factor biosynthesis protein SkfC	skfC skfD ybcS ybcT BSU01935 BSU01930 BSU01940
BSU01950	SkfA peptide export ATP-binding protein SkfE (EC 7.3.2.3)	skfE ybdA BSU01950
BSU01960	Putative bacteriocin-SkfA transport system permease protein SkfF	skfF ybdB BSU01960
BSU01970	Uncharacterized protein SkfG	skfG ybdD BSU01970
BSU01980	Thioredoxin-like protein SkfH	skfH ybdE BSU01980
BSU01990	Uncharacterized protein YbdG	ybdG ybdH BSU01990
BSU02000	Uncharacterized transcriptional regulatory protein YbdJ	ybdJ BSU02000
BSU02010	Sensor histidine kinase YbdK (EC 2.7.13.3)	ybdK BSU02010
BSU02019	Uncharacterized protein YbzI	ybzI BSU02019
BSU02030	Probable serine/threonine-protein kinase YbdM (EC 2.7.11.1)	ybdM BSU02030
BSU02040	Uncharacterized protein YbdN	ybdN BSU02040
BSU02050	Uncharacterized protein YbdO	ybdO BSU02050
BSU02060	Uncharacterized transporter YbxG	ybxG ybdP BSU02060
BSU02070	Sigma-G-dependent sporulation-specific SASP protein	csgA BSU02070
BSU02080	Uncharacterized protein YbxH (ORF3)	ybxH BSU02080
BSU02090	Probable beta-lactamase YbxI (EC 3.5.2.6)	ybxI ybdS BSU02090
BSU02100	Fatty-acid peroxygenase (EC 1.11.2.4) (Cytochrome P450 152A1) (Cytochrome P450BsBeta) (Fatty acid beta-hydroxylase)	cypC CYP152A1 BSU02100
BSU02110	Uncharacterized protein YbyB	ybyB BSU02110
BSU02120	Probable amino acid-proton symporter YbeC	ybeC BSU02120
BSU02130	Glycerophosphodiester phosphodiesterase (Glycerophosphoryl diester phosphodiesterase) (EC 3.1.4.46)	glpQ ybeD BSU02130
BSU02140	Glycerol-3-phosphate transporter (G-3-P transporter) (G-3-P permease)	glpT ybeE BSU02140
BSU02150	Uncharacterized protein YbeF	ybeF BSU02150
BSU02160	Putative HTH-type DNA-binding domain-containing acetyltransferase YbfA (EC 2.3.1.-)	ybfA BSU02160
BSU02170	Uncharacterized MFS-type transporter YbfB	ybfB BSU02170
BSU02180	Uncharacterized protein YbfE	ybfE BSU02180
BSU02181	NA	NA
BSU02190	Uncharacterized protein YbfF	ybfF BSU02190
BSU02200	Uncharacterized protein YbfG	ybfG BSU02200
BSU02210	Uncharacterized transporter YbhF	ybfH BSU02210
BSU02220	Uncharacterized HTH-type transcriptional regulator YbfI	ybfI BSU02220
BSU02230	Formate-dependent phosphoribosylglycinamide formyltransferase (EC 6.3.1.21) (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (GAR transformylase 2) (GART 2) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2)	purT BSU02230
BSU02240	Extracellular metalloprotease (EC 3.4.21.-)	mpr BSU02240
BSU02250	Uncharacterized protein YbfJ	ybfJ BSU02250
BSU02260	Carboxylesterase YbfK (EC 3.1.1.1)	ybfK BSU02260
BSU02270	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8) (Phosphatidylserine synthase)	pssA pss BSU02270
BSU02280	Uncharacterized membrane protein YbfM	ybfM BSU02280
BSU02290	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase alpha chain; Phosphatidylserine decarboxylase beta chain]	psd BSU02290
BSU02300	Uncharacterized protein YbfN	ybfN BSU02300
BSU02310	Putative hydrolase YbfO (EC 3.-.-.-)	ybfO BSU02310
BSU02320	Uncharacterized HTH-type transcriptional regulator YbfP	ybfP BSU02320
BSU02330	tRNA uridine(34) hydroxylase (EC 1.14.-.-) (tRNA hydroxylation protein O)	trhO ybfQ BSU02330
BSU02340	Proton/glutamate-aspartate symporter (Proton/glutamate symport protein)	gltP BSU02340
BSU02350	Putative PTS system glucosamine-specific EIICBA component [Includes: Glucosamine permease IIC component (PTS system glucosamine-specific EIIC component); Glucosamine-specific phosphotransferase enzyme IIB component (EC 2.7.1.193) (PTS system glucosamine-specific EIIB component); Glucosamine-specific phosphotransferase enzyme IIA component (PTS system glucosamine-specific EIIA component)]	gamP ybfS yzfA BSU02350
BSU02360	Probable glucosamine-6-phosphate deaminase 2 (EC 3.5.99.6) (GlcN6P deaminase 2) (GNPDA 2) (Glucosamine-6-phosphate isomerase 2)	gamA ybfT BSU02360
BSU02370	HTH-type transcriptional repressor GamR	gamR ybgA BSU02370
BSU02380	Uncharacterized membrane protein YbgB	ybgB BSU02380
BSU02390	Branched-chain-amino-acid transaminase 1 (BCAT 1) (EC 2.6.1.42)	ilvE ybgE BSU02390
BSU02400	Uncharacterized amino acid permease YbgF	ybgF BSU02400
BSU02410	Homocysteine S-methyltransferase YbgG (EC 2.1.1.10) (S-methylmethionine:homocysteine methyltransferase)	ybgG BSU02410
BSU02420	Probable sodium/glutamine symporter GlnT	glnT ybgH BSU02420
BSU02430	Glutaminase 1 (EC 3.5.1.2)	glsA1 glsA ybgJ BSU02430
BSU02440	Sensor histidine kinase GlnK (EC 2.7.13.3)	glnK nrgB ycbA yzgA BSU02440
BSU02450	Transcriptional regulatory protein GlnL	glnL ycbB yzgB BSU02450
BSU02460	Probable 5-dehydro-4-deoxyglucarate dehydratase (EC 4.2.1.41) (5-keto-4-deoxy-glucarate dehydratase) (KDGDH)	ycbC BSU02460
BSU02470	Alpha-ketoglutaric semialdehyde dehydrogenase (alphaKGSA dehydrogenase) (EC 1.2.1.26) (2,5-dioxovalerate dehydrogenase)	gucD ycbD BSU02470
BSU02480	Probable galactarate/D-glucarate transporter GudP	gudP ycbE BSU02480
BSU02490	Probable glucarate dehydratase (GDH) (GlucD) (EC 4.2.1.40)	gudD ycbF BSU02490
BSU02500	Uncharacterized HTH-type transcriptional regulator YcbG	ycbG BSU02500
BSU02510	Probable galactarate dehydratase (L-threo-forming) (GalcD) (EC 4.2.1.42)	garD ycbH BSU02510
BSU02520	Uncharacterized protein YcbJ	ycbJ BSU02520
BSU02530	Tryptophan RNA-binding attenuator protein inhibitory protein (Anti-TRAP protein) (AT)	rtpA yczA BSU02530
BSU02540	Uncharacterized transporter YcbK	ycbK BSU02540
BSU02550	Uncharacterized transcriptional regulatory protein YcbL	ycbL BSU02550
BSU02560	Sensor histidine kinase YcbM (EC 2.7.13.3)	ycbM BSU02560
BSU02570	Uncharacterized ABC transporter ATP-binding protein YcbN	ycbN BSU02570
BSU02580	Uncharacterized protein YcbO	ycbO BSU02580
BSU02585	NA	NA
BSU02590	Uncharacterized protein YcbP (ORF15)	ycbP BSU02590
BSU02600	Cell wall hydrolase CwlJ	cwlJ ycbQ BSU02600
BSU02610	Uncharacterized protein YcbR (ORF17)	ycbR BSU02610
BSU02619	Uncharacterized protein YczK	yczK BSU02619
BSU02620	Alkaline phosphatase D (APaseD) (EC 3.1.3.1)	phoD ycbS BSU02620
BSU02630	Sec-independent protein translocase protein TatAd	tatAd yczB BSU02630
BSU02640	Sec-independent protein translocase protein TatCd	tatC1 tatCd ycbT BSU02640
