Entry	Protein names	Gene Names
O31632	Cystathionine beta-lyase MetC (CBL) (EC 4.4.1.13) (Beta-cystathionase MetC) (Cysteine lyase MetC) (Cysteine-S-conjugate beta-lyase MetC)	metC yjcJ BSU11880
O31644	Transcriptional regulator ManR (Mannose operon transcriptional activator) [Includes: Putative phosphotransferase enzyme IIB component (EC 2.7.1.191) (Putative PTS system EIIB component); Putative phosphotransferase enzyme IIA component (Putative PTS system EIIA component)]	manR BSU12000
O31645	PTS system mannose-specific EIIBCA component (EIIBCA-Man) (EII-Man) [Includes: Mannose-specific phosphotransferase enzyme IIB component (EC 2.7.1.191) (PTS system mannose-specific EIIB component); Mannose permease IIC component (PTS system mannose-specific EIIC component); Mannose-specific phosphotransferase enzyme IIA component (PTS system mannose-specific EIIA component)]	manP yjdD BSU12010
O31662	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase)	mtnA ykrS BSU13550
O31677	7-carboxy-7-deazaguanine synthase (CDG synthase) (EC 4.3.99.3) (Queuosine biosynthesis protein QueE)	queE ykvL BSU13740
O31678	NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13) (7-cyano-7-carbaguanine reductase) (NADPH-dependent nitrile oxidoreductase) (PreQ(0) reductase)	queF ykvM BSU13750
O31691	PtsGHI operon antiterminator (RNA-binding antitermination protein GlcT)	glcT ykwA BSU13880
O31718	DNA-directed RNA polymerase subunit epsilon (RNAP epsilon subunit) (EC 2.7.7.6) (DNA-directed RNA polymerase subunit omega 1) (RNA polymerase epsilon subunit) (RNA polymerase omega 1 subunit) (Transcriptase subunit epsilon) (Transcriptase subunit omega 1)	rpoY ykzG BSU14540
O31749	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	pyrH smbA BSU16510
O31760	Ribonuclease J2 (RNase J2) (EC 3.1.-.-)	rnjB ymfA BSU16780
O31774	Ribonuclease Y (RNase Y) (EC 3.1.-.-)	rny ymdA BSU16960
O31775	2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16) (Global regulator YmdB)	ymdB BSU16970
O31854	Cyclic di-AMP synthase CdaS (c-di-AMP synthase) (EC 2.7.7.85) (Diadenylate cyclase) (DAC)	cdaS dacB yojJ BSU19430
O32001	SPbeta prophage-derived endonuclease YokF (EC 3.1.-.-)	yokF BSU21610
O32076	Flotillin-like protein FloT (Bacterial flotillin homolog YuaG)	floT yuaG yuaH BSU31010
O32129	Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)	lipA yutB BSU32330
O32141	Uric acid degradation bifunctional protein PucL [Includes: 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase (OHCU decarboxylase) (EC 4.1.1.97); Uricase (EC 1.7.3.3) (Urate oxidase)]	pucL yunL BSU32450
O32142	5-hydroxyisourate hydrolase (HIU hydrolase) (HIUHase) (EC 3.5.2.17) (Transthyretin-related protein) (TRP)	pucM yunM BSU32460
O32148	(S)-ureidoglycine--glyoxylate transaminase (UGXT) (EC 2.6.1.112) ((S)-ureidoglycine--glyoxylate aminotransferase) (Purine catabolism protein PucG)	pucG yurG BSU32520
O32163	Zinc-dependent sulfurtransferase SufU (EC 2.-.-.-) (Putative iron-sulfur cluster assembly scaffold protein SufU) (Sulfur acceptor protein SufU)	sufU iscU nifU yurV BSU32680
O32164	Cysteine desulfurase SufS (EC 2.8.1.7)	sufS csd yurW BSU32690
O32219	Cadmium, zinc and cobalt-transporting ATPase (EC 7.2.2.12) (EC 7.2.2.21)	cadA yvgW BSU33490
O32220	Copper-exporting P-type ATPase (Protein CopA) (EC 7.2.2.8) (Copper-exporting P-type ATPase A) (Cu(+)-exporting ATPase)	copA yvgX BSU33500
O32224	FMN-dependent NADH:quinone oxidoreductase 2 (EC 1.6.5.-) (Azo-dye reductase 2) (FMN-dependent NADH-azo compound oxidoreductase 2) (FMN-dependent NADH-azoreductase 2) (EC 1.7.1.17)	azoR2 yvaB BSU33540
O34313	Trifunctional nucleotide phosphoesterase protein YfkN [Includes: 2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase (EC 3.1.3.6) (EC 3.1.4.16); 5'-nucleotidase (EC 3.1.3.5)]	yfkN BSU07840
O34344	Sporulation delaying protein C (SdpC) (Cannibalism toxin SDP) (Killing factor SdpC) (Toxic peptide SdpC) [Cleaved into: Sporulation delaying protein (SDP)]	sdpC yvaY BSU33770
O34398	Bifunctional non-homologous end joining protein LigD (NHEJ DNA polymerase) [Includes: DNA ligase (Lig) (EC 6.5.1.1) (Polydeoxyribonucleotide synthase [ATP]); DNA repair polymerase (Pol) (Polymerase/primase)]	ligd ykoU BSU13400
O34403	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	mutM fpg ytaE BSU29080
O34425	Glyceraldehyde-3-phosphate dehydrogenase 2 (GAPDH) (EC 1.2.1.59) (NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase)	gapB BSU29020
O34450	N-acetylglucosamine-6-phosphate deacetylase (GlcNAc 6-P deacetylase) (EC 3.5.1.25)	nagA BSU35010
O34483	HPr kinase/phosphorylase (HPrK/P) (EC 2.7.11.-) (EC 2.7.4.-) (HPr kinase/phosphatase) (HPr(Ser) kinase/phosphorylase)	hprK ptsK yvoB BSU35000
O34507	Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)	prkC yloP BSU15770
O34513	tRNA(Met) cytidine acetate ligase (EC 6.3.4.-)	tmcAL ylbM BSU15060
O34525	Putative signal peptide peptidase SppA (EC 3.4.21.-)	sppA yteI BSU29530
O34527	HTH-type transcriptional regulator CymR (Cysteine metabolism repressor)	cymR yrzC BSU27520
O34530	Small ribosomal subunit biogenesis GTPase RsgA (EC 3.6.1.-) (Ribosome-associated GTPase CpgA)	rsgA cpgA engC yloQ BSU15780
O34539	NDP-glycosyltransferase YjiC (EC 2.4.1.384) (UDP-glycosyltransferase YjiC)	yjiC BSU12220
O34559	Unsaturated rhamnogalacturonyl hydrolase YteR (URH) (EC 3.2.1.172)	yteR BSU30120
O34676	L-lysine 2,3-aminomutase (LAM) (EC 5.4.3.2) (KAM)	kamA BSU19690
O34680	Type II methyltransferase M2.BsuMI (M2.BsuMI) (EC 2.1.1.37) (BsuMI modification methylase subunit YdiP) (Cytosine-specific methyltransferase M2.BsuMI)	ydiP BSU06070
O34693	Rqc2 homolog RqcH (RqcH)	rqcH yloA BSU15640
O34714	Oxalate decarboxylase OxdC (EC 4.1.1.2)	oxdC yvrK BSU33240
O34746	Beta-ketoacyl-[acyl-carrier-protein] synthase III 1 (Beta-ketoacyl-ACP synthase III 1) (KAS III 1) (EC 2.3.1.180) (EC 2.3.1.300) (3-oxoacyl-[acyl-carrier-protein] synthase 3 1) (3-oxoacyl-[acyl-carrier-protein] synthase III 1) (Branched-chain beta-ketoacyl-[acyl-carrier-protein] synthase 1) (bFabH1)	fabHA fabH fabH1 yjaX BSU11330
O34748	Probable ATP-dependent DNA helicase RecQ (EC 3.6.4.12)	recQ yocI BSU19220
O34777	Organic hydroperoxide resistance transcriptional regulator	ohrR ykmA BSU13150
O34798	Peptidoglycan-N-acetylmuramic acid deacetylase PdaC (Peptidoglycan MurNAc deacetylase) (EC 3.5.1.-) (Polysaccharide deacetylase PdaC)	pdaC yjeA BSU12100
O34817	HTH-type transcriptional repressor NagR (N-acetylglucosamine utilization regulator)	nagR yvoA BSU35030
O34840	Ca(2+)/H(+) antiporter ChaA	chaA yfkE BSU07920
O34860	RsbT co-antagonist protein RsbRB (Stressosome protein RsbRB)	rsbRB ykoB BSU13200
O34876	Cell division protein FtsX	ftsX BSU35250
O34919	SPbeta prophage-derived deoxyuridine 5'-triphosphate nucleotidohydrolase YosS (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)	yosS yojU BSU20020
O34926	Pulcherriminic acid synthase (EC 1.14.15.13) (CYP134A1) (Cyclo-L-leucyl-L-leucyl dipeptide oxidase) (Cytochrome P450 CypX)	cypX cyp134 cypB BSU35060
O34928	Peptidoglycan-N-acetylmuramic acid deacetylase PdaA (Peptidoglycan MurNAc deacetylase) (EC 3.5.1.-)	pdaA yfjS BSU07980
O34939	Type II methyltransferase M1.BsuMI (M1.BsuMI) (EC 2.1.1.37) (BsuMI modification methylase subunit YdiO) (Cytosine-specific methyltransferase M1.BsuMI)	ydiO BSU06060
O34952	Lipoteichoic acid synthase 2 [Cleaved into: Glycerol phosphate lipoteichoic acid synthase 2 (LTA synthase 1) (EC 2.7.8.-) (Polyglycerol phosphate synthase 2); Processed glycerol phosphate lipoteichoic acid synthase 2]	ltaS2 yflE BSU07710
O34962	Bifunctional malic/malolactic enzyme (EC 1.1.1.40) (EC 4.1.1.101) (Malolactic enzyme) (MLE) (NADP-dependent malic enzyme) (NADP-ME)	ytsJ BSU29220
O35002	Carboxy-terminal processing protease CtpB (C-terminal processing protease) (EC 3.4.21.102)	ctpB yvjB BSU35240
O35013	Putative 8-oxo-dGTP diphosphatase YtkD (8-oxo-dGTPase) (EC 3.6.1.55) (7,8-dihydro-8-oxoguanine-triphosphatase) (dGTP pyrophosphohydrolase)	ytkD mutTA BSU30630
P00497	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)	purF BSU06490
P04189	Subtilisin E (EC 3.4.21.62)	aprE apr aprA sprE BSU10300
P05656	Levanase (EC 3.2.1.80) (Beta-D-fructofuranosidase) (Exo-beta-D-fructosidase) (Exo-levanase)	sacC BSU27030
P06534	Stage 0 sporulation protein A (Stage 0 sporulation protein C) (Stage 0 sporulation protein G)	spo0A spo0C spo0G BSU24220
P07788	Laccase (EC 1.10.3.2) (Bilirubin oxidase) (EC 1.3.3.5) (Spore coat protein A)	cotA pig BSU06300
P07860	RNA polymerase sigma-F factor (Sporulation sigma factor) (Stage II sporulation protein AC)	sigF spoIIAC BSU23450
P08164	NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5) (General stress protein 38) (GSP38) (Spore outgrowth factor B) (Sporulation protein OutB)	nadE outB BSU03130
P08495	Aspartokinase 2 (EC 2.7.2.4) (Aspartate kinase 2) (Aspartokinase II)	lysC BSU28470
P08877	Phosphocarrier protein HPr (Histidine-containing protein)	ptsH BSU13900
P09124	Glyceraldehyde-3-phosphate dehydrogenase 1 (GAPDH) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase)	gapA gap BSU33940
P09339	Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) (Aconitate/2-methylaconitate hydratase) (EC 4.2.1.-) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein)	citB BSU18000
P10943	Hut operon positive regulatory protein	hutP BSU39340
P11998	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78) (Heavy riboflavin synthase beta subunit) (HRS beta subunit)	ribH BSU23250
P12041	Phosphoribosylformylglycinamidine synthase subunit PurQ (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit I) (FGAR amidotransferase I) (FGAR-AT I) (Glutaminase PurQ) (EC 3.5.1.2) (Phosphoribosylformylglycinamidine synthase subunit I)	purQ BSU06470
P12042	Phosphoribosylformylglycinamidine synthase subunit PurL (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit II) (FGAR amidotransferase II) (FGAR-AT II) (Glutamine amidotransferase PurL) (Phosphoribosylformylglycinamidine synthase subunit II)	purL BSU06480
P12047	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase) (Glutamyl--tRNA ligase regulatory factor)	purB purE BSU06440
P12425	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I alpha) (GSI alpha)	glnA BSU17460
P12946	Heme A synthase (HAS) (EC 1.17.99.9) (Cytochrome aa3-controlling protein)	ctaA BSU14870
P13242	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG ctrA BSU37150
P13485	Teichoic acid poly(glycerol phosphate) polymerase (EC 2.7.8.12) (CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase) (CGPTase) (Major teichoic acid biosynthesis protein F) (Poly(glycerol phosphate) polymerase) (Tag polymerase)	tagF rodC tag3 BSU35720
P13799	Signal transduction histidine-protein kinase/phosphatase DegS (EC 2.7.13.3) (EC 3.1.3.-)	degS sacU BSU35500
P13800	Transcriptional regulatory protein DegU (Protease production enhancer protein)	degU iep BSU35490
P13801	Sporulation sigma-E factor-processing peptidase (EC 3.4.23.-) (Membrane-associated aspartic protease) (Stage II sporulation protein GA)	spoIIGA BSU15310
P14193	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PPRibP synthase) (PRPP synthase) (PRPPase)	prs BSU00510
P16304	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Superoxide-inducible protein 16) (SOI16)	adk BSU01370
P16655	Cell division protein DivIB (Cell division and sporulation protein) (Division initiation protein DivIB)	divIB dds BSU15240
P16971	Protein RecA (Recombinase A)	recA recE BSU16940
P17585	Aminoglycoside 6-adenylyltransferase (EC 2.7.7.-) (6-O-adenyl-transferase) (AAD(6)) (ANT(6)) (Aminoglycoside inactivating enzyme) (Sm inactivating enzyme) (Streptomycin 6-adenylyltransferase)	aadK BSU26790 HIR78_15755
P17618	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	ribD ribG BSU23280
P17865	Cell division protein FtsZ	ftsZ BSU15290
P17896	SpoIVB peptidase (EC 3.4.21.116) (Sporulation factor IV B protease) (Stage IV sporulation protein B) [Cleaved into: SpoIVB peptidase 45 kDa isoform; SpoIVB peptidase 43 kDa isoform; SpoIVB peptidase 42 kDa isoform]	spoIVB BSU24230
P17904	Serine-protein kinase RsbW (EC 2.7.11.1) (Anti-sigma-B factor) (Sigma-B negative effector RsbW)	rsbW BSU04720
P19079	Cytidine deaminase (CDA) (EC 3.5.4.5) (Cytidine aminohydrolase)	cdd BSU25300
P19080	Chorismate mutase AroH (CM) (EC 5.4.99.5)	aroH BSU22690
P20964	GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg) (OrfA) (Spo0B-associated GTP-binding protein)	obg BSU27920
P21340	Spermidine/spermine N(1)-acetyltransferase (SSAT) (Protease synthase and sporulation negative regulatory protein PAI 1) (Spermidine N(1)-acetyltransferase) (SAT) (EC 2.3.1.57)	paiA BSU32150
P21458	DNA translocase SpoIIIE (Stage III sporulation protein E)	spoIIIE ftsK BSU16800
P21472	30S ribosomal protein S12 (BS12)	rpsL fun strA BSU01100
P21883	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (E2) (S complex, 48 kDa subunit)	pdhC aceC BSU14600
P23477	ATP-dependent helicase/deoxyribonuclease subunit B (EC 3.1.-.-) (EC 3.6.4.12) (ATP-dependent helicase/nuclease AddB)	addB BSU10620
P23478	ATP-dependent helicase/nuclease subunit A (EC 3.1.-.-) (EC 3.6.4.12) (ATP-dependent helicase/nuclease AddA)	addA BSU10630
P24010	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Caa-3605 subunit 1) (Cytochrome aa3 subunit 1) (Cytochrome c oxidase polypeptide I) (Oxidase aa(3) subunit 1)	ctaD BSU14900
P24011	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Caa-3605 subunit 2) (Cytochrome aa3 subunit 2) (Cytochrome c oxidase polypeptide II) (Oxidase aa(3) subunit 2)	ctaC BSU14890
P24327	Foldase protein PrsA (EC 5.2.1.8)	prsA BSU09950
P25052	Aminopyrimidine aminohydrolase (EC 3.5.99.2) (4-amino-5-aminomethyl-2-methylpyrimidine hydrolase) (Thiaminase II)	tenA BSU11650
P25053	Thiazole tautomerase (EC 5.3.99.10)	tenI BSU11660
P25144	Catabolite control protein A (Glucose-resistance amylase regulator)	ccpA alsA amyR graR BSU29740
P25152	Aminopeptidase YwaD (Arginyl aminopeptidase) (EC 3.4.11.6) (BSAP) (Leucyl aminopeptidase) (EC 3.4.11.10)	ywaD BSU38470 ipa-8r
P25814	Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)	rnpA BSU41050
P25983	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit (Dihydroorotate oxidase B, electron transfer subunit)	pyrK pyrDB pyrDII pyrZ ylxD BSU15530
P25996	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit (DHOD B) (DHODase B) (DHOdehase B) (EC 1.3.1.14) (Dihydroorotate oxidase B) (Orotate reductase (NADH))	pyrD pyrDA pyrDI BSU15540
P26380	PTS system fructose-specific EIIB component (EC 2.7.1.202) (EIIB-Fru) (Fructose-specific phosphotransferase enzyme IIB component) (lev-PTS) (p18)	levE sacL BSU27060
P26935	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase (EC 1.1.1.18) (EC 1.1.1.369) (Myo-inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase) (MI 2-dehydrogenase/DCI 3-dehydrogenase)	iolG idh BSU39700 E83G
P27623	Glycerol-3-phosphate cytidylyltransferase (GCT) (GCTase) (Gro-PCT) (EC 2.7.7.39) (CDP-glycerol pyrophosphorylase) (Teichoic acid biosynthesis protein D)	tagD BSU35740
P28366	Protein translocase subunit SecA (EC 7.4.2.8)	secA div+ BSU35300
P28628	Signal peptidase I S (SPase I) (EC 3.4.21.89) (Leader peptidase I)	sipS BSU23310
P28819	Aminodeoxychorismate/anthranilate synthase component 2 (ADC synthase) (ADCS) (EC 2.6.1.85) (EC 4.1.3.27) (4-amino-4-deoxychorismate synthase component 2) (Aminodeoxychorismate synthase, glutamine amidotransferase component)	pabA trpG BSU00750
P28820	Aminodeoxychorismate synthase component 1 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 1)	pabB pab BSU00740
P31080	LexA repressor (EC 3.4.21.88) (SOS regulatory protein DinR)	lexA dinR BSU17850
P32396	Coproporphyrin III ferrochelatase (EC 4.99.1.9) (Water-soluble ferrochelatase)	cpfC hemF hemH BSU10130
P32397	Coproporphyrinogen III oxidase (EC 1.3.3.15)	cgoX hemG hemY BSU10140
P32960	Broad specificity amino-acid racemase RacX (EC 5.1.1.10)	racX BSU34430
P33911	Translational regulator CsrA	csrA sow yviG BSU35370
P35149	Stage IV sporulation protein A (EC 3.6.1.-) (Coat morphogenetic protein SpoIVA)	spoIVA spoVP BSU22800
P37476	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-) (Cell division protease FtsH)	ftsH BSU00690
P37484	Cyclic-di-AMP phosphodiesterase GdpP (c-di-AMP phosphodiesterase YybT) (EC 3.1.4.59) (Cyclic-di-AMP hydrolase GdpP) (Cyclic-di-AMP phosphodiesterase YybT)	gdpP yybT BSU40510
P37527	Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1) (Superoxide-inducible protein 7) (SOI7)	pdxS yaaD BSU00110
P37528	Pyridoxal 5'-phosphate synthase subunit PdxT (EC 4.3.3.6) (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)	pdxT yaaE BSU00120
P37529	Deoxyadenosine/deoxycytidine kinase (dAK/dCK) (EC 2.7.1.74) (EC 2.7.1.76)	dck dak yaaF BSU00140
P37530	Deoxyguanosine kinase (DGUO kinase) (dGK) (EC 2.7.1.113)	dgk yaaG BSU00150
P37534	Anti-sigma-G factor Gin (Protein CsfB)	csfB gin yaaM BSU00240
P37547	Ribonuclease M5 (EC 3.1.26.8) (RNase M5) (Ribosomal RNA terminal maturase M5)	rnmV yabF BSU00410
P37552	2-iminobutanoate/2-iminopropanoate deaminase (EC 3.5.99.10) (Enamine/imine deaminase)	ridA yabJ BSU00480
P37564	Type III pantothenate kinase (EC 2.7.1.33) (PanK-III) (Pantothenic acid kinase)	coaX coaA yacB BSU00700
P37570	Protein-arginine kinase (EC 2.7.14.1)	mcsB yacI BSU00850
P37573	DNA integrity scanning protein DisA (Cyclic di-AMP synthase) (c-di-AMP synthase) (Diadenylate cyclase) (DAC) (EC 2.7.7.85)	disA comY orf6 yacK BSU00880
P37808	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha) (Vegetative protein 100) (VEG100)	atpA BSU36830
P37817	Stage V sporulation protein M	spoVM BSU15810
P37869	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno BSU33900
P37887	Cysteine synthase (CSase) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase) (OAS-TL) (Superoxide-inducible protein 11) (SOI11)	cysK BSU00730
P37945	Lon protease 1 (EC 3.4.21.53) (ATP-dependent protease La 1)	lon1 lonA BSU28200
P37956	Spore photoproduct lyase (EC 4.1.99.14)	splB spl BSU13930
P37957	Lipase EstA (Lipase A) (EC 3.1.1.3) (Triacylglycerol lipase)	estA lip lipA BSU02700
P38032	L-aspartate oxidase (LASPO) (EC 1.4.3.16) (L-aspartate:fumarate oxidoreductase) (EC 1.5.99.-) (Quinolinate synthase B)	nadB BSU27870
P38050	Penicillin-binding protein 1F (PBP-1F) (Penicillin-binding protein F) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	pbpF ponA BSU10110
P39062	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	acsA BSU29680
P39065	Acetoin utilization protein AcuA (EC 2.3.1.-) (Protein acetyltransferase AcuA)	acuA BSU29690
P39070	ATP-dependent protease subunit ClpQ (EC 3.4.21.-)	clpQ codW hslV BSU16150
P39115	Ribosome protection protein VmlR (Multidrug resistance system ATP-binding protein VmlR)	vmlR expZ BSU05610
P39116	Pectate lyase (PL) (EC 4.2.2.2)	pel BSU07560
P39135	4'-phosphopantetheinyl transferase Sfp (EC 2.7.8.7) (Surfactin synthase-activating enzyme)	sfp lpa-8 BSU03570
P39148	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	glyA glyC BSU36900 ipc-34d
P39155	Protein-arginine-phosphatase (PAP) (EC 3.9.1.2) (Phosphoarginine phosphatase)	ywlE BSU36930 ipc-31d
P39215	Methyl-accepting chemotaxis protein McpB (H3)	mcpB BSU31260
P39576	Branched-chain-amino-acid aminotransferase 2 (BCAT 2) (EC 2.6.1.42) (Vegetative protein 85) (VEG85)	ilvK ywaA BSU38550 ipa-0r
P39593	Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (TH kinase) (Thz kinase)	thiM thiK ywbJ BSU38300 ipa-25d
P39594	Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase)	thiE thiC ywbK BSU38290 ipa-26d
