id	genomic.feature	Chr	Start	End
BSU_00920	cds	NC_000964.3	111047	112498
BSU_00930	cds	NC_000964.3	112800	113453
BSU_00940	cds	NC_000964.3	113450	114850
BSU_00950	cds	NC_000964.3	114854	115285
BSU_00960	cds	NC_000964.3	115269	116018
BSU_00970	cds	NC_000964.3	116025	116537
BSU_00980	cds	NC_000964.3	116600	117256
BSU_00990	cds	NC_000964.3	117349	117498
BSU_01000	cds	NC_000964.3	117532	117711
BSU_01010	cds	NC_000964.3	117890	118423
BSU_01020	cds	NC_000964.3	118591	119016
BSU_01030	cds	NC_000964.3	119111	119809
BSU_01040	cds	NC_000964.3	120061	120561
BSU_01050	cds	NC_000964.3	120607	120978
BSU_01060	cds	NC_000964.3	121068	121673
BSU_01070	cds	NC_000964.3	121919	125500
BSU_01080	cds	NC_000964.3	125562	129161
BSU_01090	cds	NC_000964.3	129340	129588
BSU_01100	cds	NC_000964.3	129702	130118
BSU_01110	cds	NC_000964.3	130160	130630
BSU_01120	cds	NC_000964.3	130684	132762
BSU_01130	cds	NC_000964.3	132882	134072
BSU_01140	cds	NC_000964.3	134171	135127
BSU_01150	cds	NC_000964.3	135364	135672
BSU_01160	cds	NC_000964.3	135712	136341
BSU_01170	cds	NC_000964.3	136369	136992
BSU_01180	cds	NC_000964.3	136992	137279
BSU_01190	cds	NC_000964.3	137311	138144
BSU_01200	cds	NC_000964.3	138202	138480
BSU_01210	cds	NC_000964.3	138497	138838
BSU_01220	cds	NC_000964.3	138842	139498
BSU_01230	cds	NC_000964.3	139500	139934
BSU_01240	cds	NC_000964.3	139924	140124
BSU_01250	cds	NC_000964.3	140147	140410
BSU_01260	cds	NC_000964.3	140451	140819
BSU_01270	cds	NC_000964.3	140857	141168
BSU_01280	cds	NC_000964.3	141195	141734
BSU_01290	cds	NC_000964.3	141757	141942
BSU_01300	cds	NC_000964.3	141974	142372
BSU_01310	cds	NC_000964.3	142402	142941
BSU_01320	cds	NC_000964.3	142974	143336
BSU_01330	cds	NC_000964.3	143361	143861
BSU_01340	cds	NC_000964.3	143875	144054
BSU_01350	cds	NC_000964.3	144085	144525
BSU_01360	cds	NC_000964.3	144527	145822
BSU_01370	cds	NC_000964.3	145877	146530
BSU_01380	cds	NC_000964.3	146527	147273
BSU_01389	cds	NC_000964.3	147312	147536
BSU_01390	cds	NC_000964.3	147585	147803
BSU_01400	cds	NC_000964.3	147837	147950
BSU_01410	cds	NC_000964.3	147973	148338
BSU_01420	cds	NC_000964.3	148359	148754
BSU_01430	cds	NC_000964.3	148931	149875
BSU_01440	cds	NC_000964.3	149953	150315
BSU_01450	cds	NC_000964.3	150443	151288
BSU_01460	cds	NC_000964.3	151303	152133
BSU_01470	cds	NC_000964.3	152130	152927
BSU_01480	cds	NC_000964.3	152937	153680
BSU_01490	cds	NC_000964.3	153842	154279
BSU_01500	cds	NC_000964.3	154300	154692
BSU_01510	cds	NC_000964.3	155156	155923
BSU_01520	cds	NC_000964.3	156109	156552
BSU_01530	cds	NC_000964.3	156612	157325
BSU_01540	cds	NC_000964.3	157421	158479
BSU_01550	cds	NC_000964.3	158515	159072
BSU_01560	cds	NC_000964.3	159182	159778
BSU_01570	cds	NC_000964.3	159779	160543
BSU_01580	cds	NC_000964.3	177083	178519
BSU_01590	cds	NC_000964.3	178665	179585
BSU_01600	cds	NC_000964.3	179595	180347
BSU_01610	cds	NC_000964.3	180344	181354
BSU_01620	cds	NC_000964.3	181347	182351
BSU_01630	cds	NC_000964.3	182370	183323
BSU_01640	cds	NC_000964.3	183414	185003
BSU_01650	cds	NC_000964.3	185194	186438
BSU_01660	cds	NC_000964.3	186452	188380
BSU_01670	cds	NC_000964.3	188408	189733
BSU_01680	cds	NC_000964.3	189790	191157
BSU_01690	cds	NC_000964.3	191183	192034
BSU_01700	cds	NC_000964.3	192051	192965
BSU_01710	cds	NC_000964.3	193075	193557
BSU_01720	cds	NC_000964.3	193570	194025
BSU_01730	cds	NC_000964.3	194849	195412
BSU_01740	cds	NC_000964.3	195426	196052
BSU_01750	cds	NC_000964.3	196213	197034
BSU_01760	cds	NC_000964.3	197027	198478
BSU_01770	cds	NC_000964.3	198497	199843
BSU_01780	cds	NC_000964.3	200277	202079
BSU_01790	cds	NC_000964.3	202126	202266
BSU_01800	cds	NC_000964.3	202547	203458
BSU_01810	cds	NC_000964.3	203729	204364
BSU_01820	cds	NC_000964.3	204351	204890
BSU_01830	cds	NC_000964.3	205409	206926
BSU_01845	cds	NC_000964.3	206941	209556
BSU_01860	cds	NC_000964.3	209633	210160
BSU_01870	cds	NC_000964.3	210224	210514
BSU_01880	cds	NC_000964.3	210572	210946
BSU_01889	cds	NC_000964.3	211429	211731
BSU_01890	cds	NC_000964.3	211859	213031
BSU_01900	cds	NC_000964.3	213155	213469
BSU_01910	cds	NC_000964.3	213941	214108
BSU_01920	cds	NC_000964.3	214175	215407
BSU_01935	cds	NC_000964.3	215404	216894
BSU_01950	cds	NC_000964.3	216913	217632
BSU_01960	cds	NC_000964.3	217697	219040
BSU_01970	cds	NC_000964.3	219087	219602
BSU_01980	cds	NC_000964.3	219607	220032
BSU_01990	cds	NC_000964.3	220279	221256
BSU_02000	cds	NC_000964.3	221258	221929
BSU_02010	cds	NC_000964.3	221950	222912
BSU_02019	cds	NC_000964.3	222971	223234
BSU_02030	cds	NC_000964.3	223219	223989
BSU_02040	cds	NC_000964.3	224075	224932
BSU_02050	cds	NC_000964.3	225064	226248
BSU_02060	cds	NC_000964.3	226566	227954
BSU_02070	cds	NC_000964.3	228066	228314
BSU_02080	cds	NC_000964.3	228331	228522
BSU_02090	cds	NC_000964.3	228549	229352
BSU_02100	cds	NC_000964.3	229525	230778
BSU_02110	cds	NC_000964.3	230819	231079
BSU_02120	cds	NC_000964.3	231348	232967
BSU_02130	cds	NC_000964.3	233014	233895
BSU_02140	cds	NC_000964.3	233994	235328
BSU_02150	cds	NC_000964.3	235625	235873
BSU_02160	cds	NC_000964.3	235965	236882
BSU_02170	cds	NC_000964.3	236879	238129
BSU_02190	cds	NC_000964.3	238644	239555
BSU_02200	cds	NC_000964.3	239644	241842
BSU_02210	cds	NC_000964.3	241917	242837
BSU_02220	cds	NC_000964.3	242834	243661
BSU_02230	cds	NC_000964.3	243892	245046
BSU_02240	cds	NC_000964.3	245190	246131
BSU_02250	cds	NC_000964.3	246094	246492
BSU_02260	cds	NC_000964.3	246658	247548
BSU_02270	cds	NC_000964.3	247744	248277
BSU_02280	cds	NC_000964.3	248268	248756
BSU_02290	cds	NC_000964.3	248749	249540
BSU_02300	cds	NC_000964.3	249595	249873
BSU_02310	cds	NC_000964.3	249979	251319
BSU_02320	cds	NC_000964.3	251427	252314
BSU_02330	cds	NC_000964.3	252514	253482
BSU_02340	cds	NC_000964.3	253518	254762
BSU_02350	cds	NC_000964.3	254907	256802
BSU_02360	cds	NC_000964.3	256823	257572
BSU_02370	cds	NC_000964.3	257791	258498
BSU_02380	cds	NC_000964.3	258532	258807
BSU_02390	cds	NC_000964.3	259016	260086
BSU_02400	cds	NC_000964.3	260123	261535
BSU_02410	cds	NC_000964.3	261656	262603
BSU_02420	cds	NC_000964.3	262732	264168
BSU_02430	cds	NC_000964.3	264191	265174
BSU_02440	cds	NC_000964.3	265476	266708
BSU_02450	cds	NC_000964.3	266719	267663
BSU_02460	cds	NC_000964.3	267890	268816
BSU_02470	cds	NC_000964.3	268846	270312
BSU_02480	cds	NC_000964.3	270396	271763
BSU_02490	cds	NC_000964.3	271800	273167
BSU_02500	cds	NC_000964.3	273237	273938
BSU_02510	cds	NC_000964.3	274029	275561
BSU_02520	cds	NC_000964.3	275838	276758
BSU_02530	cds	NC_000964.3	277160	277321
BSU_02540	cds	NC_000964.3	277342	278280
BSU_02550	cds	NC_000964.3	278377	279057
BSU_02560	cds	NC_000964.3	279059	279994
BSU_02570	cds	NC_000964.3	280086	281009
BSU_02580	cds	NC_000964.3	281028	281714
BSU_02585	cds	NC_000964.3	281675	281809
BSU_02590	cds	NC_000964.3	281769	282155
BSU_02600	cds	NC_000964.3	282469	282897
BSU_02610	cds	NC_000964.3	283003	283734
BSU_02619	cds	NC_000964.3	283816	283992
BSU_02620	cds	NC_000964.3	284011	285762
BSU_02630	cds	NC_000964.3	285775	285987
BSU_02640	cds	NC_000964.3	286048	286776
BSU_02650	cds	NC_000964.3	286773	287420
BSU_02660	cds	NC_000964.3	287499	288611
BSU_02670	cds	NC_000964.3	288653	290092
BSU_02680	cds	NC_000964.3	290132	290698
BSU_02690	cds	NC_000964.3	290915	292042
BSU_02700	cds	NC_000964.3	292205	292843
BSU_02710	cds	NC_000964.3	292881	293264
BSU_02720	cds	NC_000964.3	293499	294575
BSU_02730	cds	NC_000964.3	294615	295571
BSU_02740	cds	NC_000964.3	295584	296285
BSU_02750	cds	NC_000964.3	296429	297169
BSU_02760	cds	NC_000964.3	297170	298330
BSU_02770	cds	NC_000964.3	298466	299398
BSU_02780	cds	NC_000964.3	299438	300502
BSU_02785	cds	NC_000964.3	300525	300656
BSU_02790	cds	NC_000964.3	300830	302248
BSU_02800	cds	NC_000964.3	302435	303796
BSU_02810	cds	NC_000964.3	303804	304307
BSU_02820	cds	NC_000964.3	304430	305551
BSU_02830	cds	NC_000964.3	305658	306434
BSU_02840	cds	NC_000964.3	306459	308144
BSU_02850	cds	NC_000964.3	308332	309291
BSU_02860	cds	NC_000964.3	309347	310042
BSU_02870	cds	NC_000964.3	310000	310842
BSU_02880	cds	NC_000964.3	310880	311875
BSU_02890	cds	NC_000964.3	312159	312758
BSU_02900	cds	NC_000964.3	312780	313361
BSU_02910	cds	NC_000964.3	313396	313974
BSU_02920	cds	NC_000964.3	314025	314798
BSU_02930	cds	NC_000964.3	314883	316496
BSU_02940	cds	NC_000964.3	316512	317603
BSU_02950	cds	NC_000964.3	317725	318927
BSU_02960	cds	NC_000964.3	319180	320352
BSU_02970	cds	NC_000964.3	320421	320723
BSU_02980	cds	NC_000964.3	321013	322269
BSU_02990	cds	NC_000964.3	322271	323119
BSU_03000	cds	NC_000964.3	323119	324000
BSU_03010	cds	NC_000964.3	324038	325189
BSU_03020	cds	NC_000964.3	325339	326772
BSU_03030	cds	NC_000964.3	326888	327469
BSU_03040	cds	NC_000964.3	327618	329597
BSU_03050	cds	NC_000964.3	329774	330739
BSU_03060	cds	NC_000964.3	330771	332396
BSU_03070	cds	NC_000964.3	332441	333979
BSU_03080	cds	NC_000964.3	334092	334556
BSU_03090	cds	NC_000964.3	334630	335259
BSU_03100	cds	NC_000964.3	335329	336090
BSU_03110	cds	NC_000964.3	336092	337432
BSU_03120	cds	NC_000964.3	337562	338158
BSU_03130	cds	NC_000964.3	338288	339106
BSU_03140	cds	NC_000964.3	339156	339749
BSU_03150	cds	NC_000964.3	340025	340585
BSU_03160	cds	NC_000964.3	340613	341374
BSU_03170	cds	NC_000964.3	341492	342466
BSU_03180	cds	NC_000964.3	342538	343494
BSU_03190	cds	NC_000964.3	343578	344360
BSU_03200	cds	NC_000964.3	344551	345462
BSU_03210	cds	NC_000964.3	345479	347026
BSU_03220	cds	NC_000964.3	347150	348571
BSU_03230	cds	NC_000964.3	348724	349959
BSU_03240	cds	NC_000964.3	349996	350853
BSU_03250	cds	NC_000964.3	350858	351742
BSU_03260	cds	NC_000964.3	351842	352696
BSU_03270	cds	NC_000964.3	352858	353868
BSU_03280	cds	NC_000964.3	353900	355351
BSU_03290	cds	NC_000964.3	355412	355732
BSU_03300	cds	NC_000964.3	355764	358181
BSU_03310	cds	NC_000964.3	358303	360435
BSU_03320	cds	NC_000964.3	360442	362757
BSU_03330	cds	NC_000964.3	362937	364142
BSU_03340	cds	NC_000964.3	364259	365173
BSU_03350	cds	NC_000964.3	365170	365754
BSU_03359	cds	NC_000964.3	365850	366035
BSU_03360	cds	NC_000964.3	366063	367256
BSU_03370	cds	NC_000964.3	367305	367985
BSU_03380	cds	NC_000964.3	367995	368858
BSU_03385	cds	NC_000964.3	369020	369217
BSU_03390	cds	NC_000964.3	369236	369691
BSU_03400	cds	NC_000964.3	369773	370105
BSU_03410	cds	NC_000964.3	370259	371692
BSU_03420	cds	NC_000964.3	371729	372127
BSU_03430	cds	NC_000964.3	372154	372603
BSU_03440	cds	NC_000964.3	372771	374492
BSU_03450	cds	NC_000964.3	374603	375160
BSU_03460	cds	NC_000964.3	375166	375798
BSU_03470	cds	NC_000964.3	376032	376394
BSU_03480	cds	NC_000964.3	376968	387731
BSU_03490	cds	NC_000964.3	387744	398495
BSU_03500	cds	NC_000964.3	390880	391020
BSU_03510	cds	NC_000964.3	398532	402359
BSU_03520	cds	NC_000964.3	402388	403116
BSU_03530	cds	NC_000964.3	403217	404443
BSU_03540	cds	NC_000964.3	404458	405015
BSU_03550	cds	NC_000964.3	405069	406007
BSU_03560	cds	NC_000964.3	406131	407465
BSU_03580	cds	NC_000964.3	408240	408887
BSU_03590	cds	NC_000964.3	409208	409951
BSU_03600	cds	NC_000964.3	409965	410669
BSU_03610	cds	NC_000964.3	410656	411462
BSU_03620	cds	NC_000964.3	411578	412450
BSU_03630	cds	NC_000964.3	412540	413154
BSU_03640	cds	NC_000964.3	413157	414578
BSU_03651	cds	NC_000964.3	414595	414822
BSU_03652	cds	NC_000964.3	414819	415283
BSU_03660	cds	NC_000964.3	415350	416195
BSU_03670	cds	NC_000964.3	416235	417713
BSU_03680	cds	NC_000964.3	417993	419747
BSU_03690	cds	NC_000964.3	419763	419984
BSU_03700	cds	NC_000964.3	420110	421744
BSU_03710	cds	NC_000964.3	421734	422957
BSU_03720	cds	NC_000964.3	422982	424103
BSU_03730	cds	NC_000964.3	424208	424888
BSU_03740	cds	NC_000964.3	424904	426364
BSU_03750	cds	NC_000964.3	426577	427260
BSU_03760	cds	NC_000964.3	427247	428668
BSU_03770	cds	NC_000964.3	428831	429979
BSU_03780	cds	NC_000964.3	429963	430085
BSU_03788	cds	NC_000964.3	430185	430274
BSU_03789	cds	NC_000964.3	430356	430469
BSU_03790	cds	NC_000964.3	430623	431987
BSU_03800	cds	NC_000964.3	432372	433322
BSU_03810	cds	NC_000964.3	433315	434262
BSU_03820	cds	NC_000964.3	434256	435014
BSU_03830	cds	NC_000964.3	435036	435989
BSU_03840	cds	NC_000964.3	436036	437454
BSU_03850	cds	NC_000964.3	437474	438352
BSU_03860	cds	NC_000964.3	438516	439265
BSU_03870	cds	NC_000964.3	439282	439569
BSU_03880	cds	NC_000964.3	439709	440023
BSU_03890	cds	NC_000964.3	440025	441464
BSU_03900	cds	NC_000964.3	441571	442881
BSU_03910	cds	NC_000964.3	442950	444338
BSU_03920	cds	NC_000964.3	444461	445324
BSU_03930	cds	NC_000964.3	445344	446129
BSU_03940	cds	NC_000964.3	446174	446788
BSU_03950	cds	NC_000964.3	446801	448426
BSU_03960	cds	NC_000964.3	448461	449033
BSU_03970	cds	NC_000964.3	449198	449551
BSU_03981	cds	NC_000964.3	449724	451160
BSU_03982	cds	NC_000964.3	451185	451616
BSU_03990	cds	NC_000964.3	451618	452739
BSU_04000	cds	NC_000964.3	452830	453894
BSU_04010	cds	NC_000964.3	454029	454592
BSU_04020	cds	NC_000964.3	454652	455260
BSU_04030	cds	NC_000964.3	455346	455738
BSU_04039	cds	NC_000964.3	455771	455935
BSU_04040	cds	NC_000964.3	456068	456817
BSU_04050	cds	NC_000964.3	457023	457796
BSU_04060	cds	NC_000964.3	457811	459025
BSU_04070	cds	NC_000964.3	459049	459822
BSU_04080	cds	NC_000964.3	459867	460589
BSU_04090	cds	NC_000964.3	460592	461599
BSU_04100	cds	NC_000964.3	461615	462367
BSU_04110	cds	NC_000964.3	462431	463072
BSU_04120	cds	NC_000964.3	463245	463490
BSU_04130	cds	NC_000964.3	463496	463783
BSU_04140	cds	NC_000964.3	463934	465940
BSU_04150	cds	NC_000964.3	466042	466944
BSU_04160	cds	NC_000964.3	467130	469214
BSU_04170	cds	NC_000964.3	469426	470937
BSU_04180	cds	NC_000964.3	470957	471502
BSU_04190	cds	NC_000964.3	471709	472569
BSU_04200	cds	NC_000964.3	472585	473088
BSU_04210	cds	NC_000964.3	473174	473725
BSU_04220	cds	NC_000964.3	473803	474225
BSU_04230	cds	NC_000964.3	474731	475540
BSU_04240	cds	NC_000964.3	475584	475874
BSU_04250	cds	NC_000964.3	476059	476493
BSU_04260	cds	NC_000964.3	476558	478741
BSU_04270	cds	NC_000964.3	478944	480032
BSU_04280	cds	NC_000964.3	480013	480864
BSU_04290	cds	NC_000964.3	480875	482584
BSU_04300	cds	NC_000964.3	482577	483839
BSU_04310	cds	NC_000964.3	483845	485956
BSU_04320	cds	NC_000964.3	486432	488255
BSU_04330	cds	NC_000964.3	488314	488763
BSU_04340	cds	NC_000964.3	488830	490554
BSU_04345	cds	NC_000964.3	490546	490749
BSU_04359	cds	NC_000964.3	490777	491043
BSU_04360	cds	NC_000964.3	491147	492424
BSU_04370	cds	NC_000964.3	492654	492911
BSU_04380	cds	NC_000964.3	492989	493441
BSU_04390	cds	NC_000964.3	493559	494377
BSU_04400	cds	NC_000964.3	494506	494877
BSU_04410	cds	NC_000964.3	495009	495350
BSU_04420	cds	NC_000964.3	495344	495703
BSU_04430	cds	NC_000964.3	495740	496561
BSU_04440	cds	NC_000964.3	496646	497698
BSU_04450	cds	NC_000964.3	497768	499375
BSU_04460	cds	NC_000964.3	499365	500045
BSU_04470	cds	NC_000964.3	500166	501431
BSU_04480	cds	NC_000964.3	501579	502631
BSU_04490	cds	NC_000964.3	502908	503834
BSU_04500	cds	NC_000964.3	503854	504594
BSU_04510	cds	NC_000964.3	504689	505024
BSU_04520	cds	NC_000964.3	505152	506297
BSU_04530	cds	NC_000964.3	506322	506501
BSU_04536	cds	NC_000964.3	506455	506619
BSU_04540	cds	NC_000964.3	506866	507738
BSU_04550	cds	NC_000964.3	507753	508073
BSU_04560	cds	NC_000964.3	508248	509312
BSU_04570	cds	NC_000964.3	509384	510757
BSU_04580	cds	NC_000964.3	511157	512641
BSU_04590	cds	NC_000964.3	512814	513293
BSU_04600	cds	NC_000964.3	513283	514764
BSU_04610	cds	NC_000964.3	515016	515615
BSU_04620	cds	NC_000964.3	515710	516075
BSU_04630	cds	NC_000964.3	516241	517257
BSU_04640	cds	NC_000964.3	517372	518541
BSU_04650	cds	NC_000964.3	518657	518938
BSU_04660	cds	NC_000964.3	518943	519293
BSU_04670	cds	NC_000964.3	519408	520232
BSU_04680	cds	NC_000964.3	520237	520602
BSU_04690	cds	NC_000964.3	520606	521007
BSU_04700	cds	NC_000964.3	521019	522026
BSU_04710	cds	NC_000964.3	522088	522417
BSU_04720	cds	NC_000964.3	522414	522896
BSU_04730	cds	NC_000964.3	522862	523650
BSU_04740	cds	NC_000964.3	523650	524249
BSU_04745	cds	NC_000964.3	524360	524476
BSU_04750	cds	NC_000964.3	524492	524785
BSU_04760	cds	NC_000964.3	524782	525222
BSU_04770	cds	NC_000964.3	525206	525649
BSU_04780	cds	NC_000964.3	525743	527902
BSU_04785	cds	NC_000964.3	527912	528025
BSU_04790	cds	NC_000964.3	528129	528581
BSU_04800	cds	NC_000964.3	529505	530611
BSU_04810	cds	NC_000964.3	530624	531133
BSU_04820	cds	NC_000964.3	531130	531513
BSU_04830	cds	NC_000964.3	531787	531981
BSU_04839	cds	NC_000964.3	531978	532238
BSU_04840	cds	NC_000964.3	532292	532552
BSU_04849	cds	NC_000964.3	532758	532886
BSU_04850	cds	NC_000964.3	532922	533302
BSU_04860	cds	NC_000964.3	533338	534780
BSU_04870	cds	NC_000964.3	534773	535831
BSU_04880	cds	NC_000964.3	536096	536365
BSU_04890	cds	NC_000964.3	536404	536670
BSU_04900	cds	NC_000964.3	536687	536995
BSU_04910	cds	NC_000964.3	536985	538049
BSU_04920	cds	NC_000964.3	538061	538309
BSU_04930	cds	NC_000964.3	538322	538846
BSU_04940	cds	NC_000964.3	538734	541229
BSU_04950	cds	NC_000964.3	541248	541574
BSU_04960	cds	NC_000964.3	541578	544025
BSU_04970	cds	NC_000964.3	544022	545011
BSU_04980	cds	NC_000964.3	545026	545532
BSU_04990	cds	NC_000964.3	545595	545975
BSU_05000	cds	NC_000964.3	546166	546966
BSU_05010	cds	NC_000964.3	547306	548481
BSU_05020	cds	NC_000964.3	548438	548557
BSU_05030	cds	NC_000964.3	548710	549651
BSU_05040	cds	NC_000964.3	550240	551259
BSU_05050	cds	NC_000964.3	551519	551929
BSU_05060	cds	NC_000964.3	552052	552501
BSU_05070	cds	NC_000964.3	552616	553158
BSU_05080	cds	NC_000964.3	553711	554475
BSU_05090	cds	NC_000964.3	554669	555979
BSU_05099	cds	NC_000964.3	556562	556738
BSU_05100	cds	NC_000964.3	556763	557449
BSU_05109	cds	NC_000964.3	557873	558058
BSU_05110	cds	NC_000964.3	558408	559001
BSU_05120	cds	NC_000964.3	559264	559464
BSU_05130	cds	NC_000964.3	560151	560612
BSU_05140	cds	NC_000964.3	561180	561416
BSU_05150	cds	NC_000964.3	561514	562389
BSU_05160	cds	NC_000964.3	562502	563461
BSU_05170	cds	NC_000964.3	563614	564486
BSU_05180	cds	NC_000964.3	564713	566101
BSU_05190	cds	NC_000964.3	566211	567503
BSU_05200	cds	NC_000964.3	567662	568108
BSU_05210	cds	NC_000964.3	568345	568938
BSU_05220	cds	NC_000964.3	569290	569949
BSU_05230	cds	NC_000964.3	570371	571234
BSU_05240	cds	NC_000964.3	571389	572780
BSU_05250	cds	NC_000964.3	572974	573399
BSU_05260	cds	NC_000964.3	573452	574024
BSU_05270	cds	NC_000964.3	574106	574435
BSU_05280	cds	NC_000964.3	574690	575562
BSU_05290	cds	NC_000964.3	575712	576098
BSU_05300	cds	NC_000964.3	576209	576802
BSU_05310	cds	NC_000964.3	576946	578133
BSU_05320	cds	NC_000964.3	578337	578933
BSU_05329	cds	NC_000964.3	579047	579232
BSU_05330	cds	NC_000964.3	579541	579876
BSU_05340	cds	NC_000964.3	579889	581196
BSU_05350	cds	NC_000964.3	581694	582479
BSU_05360	cds	NC_000964.3	582536	583456
BSU_05370	cds	NC_000964.3	583589	585037
BSU_05380	cds	NC_000964.3	585155	585778
BSU_05390	cds	NC_000964.3	585868	586548
BSU_05400	cds	NC_000964.3	586628	587071
BSU_05408	cds	NC_000964.3	587157	587336
BSU_05409	cds	NC_000964.3	587333	587476
BSU_05410	cds	NC_000964.3	587744	588967
BSU_05420	cds	NC_000964.3	588960	589601
BSU_05430	cds	NC_000964.3	589717	591891
BSU_05440	cds	NC_000964.3	592303	593205
BSU_05450	cds	NC_000964.3	593407	594096
BSU_05460	cds	NC_000964.3	594186	594998
BSU_05470	cds	NC_000964.3	595109	596002
BSU_05480	cds	NC_000964.3	596478	597098
BSU_05490	cds	NC_000964.3	597114	598052
BSU_05500	cds	NC_000964.3	598154	598543
BSU_05510	cds	NC_000964.3	598729	599067
BSU_05520	cds	NC_000964.3	599107	599343
BSU_05529	cds	NC_000964.3	599875	600105
BSU_05530	cds	NC_000964.3	600229	600906
BSU_05540	cds	NC_000964.3	601019	601726
BSU_05550	cds	NC_000964.3	601741	602172
BSU_05560	cds	NC_000964.3	602185	602427
BSU_05570	cds	NC_000964.3	602441	602713
BSU_05580	cds	NC_000964.3	603012	603599
BSU_05590	cds	NC_000964.3	603596	603940
BSU_05600	cds	NC_000964.3	604103	604576
BSU_05610	cds	NC_000964.3	604736	606379
