	protein	gene
b0028	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Rotamase)	fkpB slpA yaaD b0028 JW0026
b0029	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (HMBPP reductase) (EC 1.17.7.4) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase)	ispH lytB yaaE b0029 JW0027
b0030	Non-specific ribonucleoside hydrolase RihC (EC 3.2.-.-) (Purine/pyrimidine ribonucleoside hydrolase)	rihC yaaF b0030 JW0028
b0031	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	dapB b0031 JW0029
b0032	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	carA pyrA b0032 JW0030
b0033	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	carB pyrA b0033 JW0031
b0034	Transcriptional activatory protein CaiF	caiF b0034 JW0033
b0035	Carnitine operon protein CaiE	caiE b0035 JW5004
b0036	Carnitinyl-CoA dehydratase (EC 4.2.1.149) (Crotonobetainyl-CoA hydratase)	caiD yaaL b0036 JW0035
b0037	Crotonobetaine/carnitine--CoA ligase (EC 6.2.1.48) (Betaine:CoA ligase)	caiC yaaM b0037 JW0036
b0038	L-carnitine CoA-transferase (EC 2.8.3.21) (Crotonobetainyl-CoA:carnitine CoA-transferase)	caiB yaaN b0038 JW0037
b0039	Crotonobetainyl-CoA reductase (EC 1.3.8.13) (Crotobetaine reductase) (Crotonobetainyl-CoA dehydrogenase)	caiA yaaO b0039 JW0038
b0040	L-carnitine/gamma-butyrobetaine antiporter	caiT yaaP b0040 JW0039
b0041	Protein FixA	fixA yaaQ b0041 JW0040
b0042	Protein FixB	fixB yaaR b0042 JW0041
b0043	Protein FixC	fixC yaaS b0043 JW0042
b0044	Ferredoxin-like protein FixX	fixX yaaT b0044 JW0043
b0045	Putative metabolite transport protein YaaU	yaaU yabE b0045 JW0044
b0046	Glutathione-regulated potassium-efflux system ancillary protein KefF (Quinone oxidoreductase KefF) (EC 1.6.5.2)	kefF yabF b0046 JW0045
b0047	Glutathione-regulated potassium-efflux system protein KefC (K(+)/H(+) antiporter)	kefC trkC b0047 JW0046
b0048	Dihydrofolate reductase (EC 1.5.1.3)	folA tmrA b0048 JW0047
b0049	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] (EC 3.6.1.41) (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate pyrophosphohydrolase) (Diadenosine tetraphosphatase)	apaH b0049 JW0048
b0050	Protein ApaG	apaG b0050 JW0049
b0051	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (High level kasugamycin resistance protein KsgA) (Kasugamycin dimethyltransferase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	rsmA ksgA b0051 JW0050
b0052	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)	pdxA b0052 JW0051
b0053	Chaperone SurA (Peptidyl-prolyl cis-trans isomerase SurA) (PPIase SurA) (EC 5.2.1.8) (Rotamase SurA) (Survival protein A)	surA b0053 JW0052
b0054	LPS-assembly protein LptD (Organic solvent tolerance protein)	lptD imp ostA yabG b0054 JW0053
b0055	Co-chaperone protein DjlA (DnaJ-like protein DjlA)	djlA yabH b0055 JW0054
b0056	Protein YabP	yabP b4659 JW0055 b0056
b0057	Protein YabQ	yabQ b0057 b4659 JW0056
b0058	Dual-specificity RNA pseudouridine synthase RluA (EC 5.4.99.28) (EC 5.4.99.29) (23S rRNA pseudouridine(746) synthase) (Ribosomal large subunit pseudouridine synthase A) (rRNA pseudouridylate synthase A) (rRNA-uridine isomerase A) (tRNA pseudouridine(32) synthase)	rluA yabO b0058 JW0057
b0059	RNA polymerase-associated protein RapA (EC 3.6.4.-) (ATP-dependent helicase HepA)	rapA hepA yabA b0059 JW0058
b0060	DNA polymerase II (Pol II) (EC 2.7.7.7)	polB dinA b0060 JW0059
b0061	L-ribulose-5-phosphate 4-epimerase AraD (EC 5.1.3.4) (Phosphoribulose isomerase)	araD b0061 JW0060
b0062	L-arabinose isomerase (EC 5.3.1.4)	araA b0062 JW0061
b0063	Ribulokinase (EC 2.7.1.16)	araB b0063 JW0062
b0064	Arabinose operon regulatory protein (HTH-type transcriptional regulator AraC)	araC b0064 JW0063
b0065	Inner membrane protein YabI	yabI b0065 JW5005
b0066	Thiamine import ATP-binding protein ThiQ (EC 7.6.2.15)	thiQ yabJ b0066 JW0065
b0067	Thiamine transport system permease protein ThiP	thiP yabK b0067 JW0066
b0068	Thiamine-binding periplasmic protein	thiB tbpA yabL b0068 JW0067
b0069	HTH-type transcriptional regulator SgrR	sgrR yabN b0069 JW0068
b4662	Putative inhibitor of glucose uptake transporter SgrT	sgrT b4662 JW0068.1
b0070	Sugar efflux transporter A	setA yabM b0070 JW0069
b0071	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	leuD b0071 JW0070
b0072	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	leuC b0072 JW0071
b0073	3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH)	leuB b0073 JW5807
b0074	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	leuA b0074 JW0073
b0075	leu operon leader peptide (leu operon attenuator peptide)	leuL leuLP b0075 JW0074
b0076	HTH-type transcriptional regulator LeuO	leuO b0076 JW0075
b4726	Protein YabR	yabR b4726
b0077	Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit)	ilvI b0077 JW0076
b0078	Acetolactate synthase isozyme 3 small subunit (EC 2.2.1.6) (ALS-III) (Acetohydroxy-acid synthase III small subunit) (AHAS-III)	ilvH brnP b0078 JW0077
b0080	Catabolite repressor/activator (Fructose repressor)	cra fruC fruR shl b0080 JW0078
b0081	Transcriptional regulator MraZ	mraZ yabB b0081 JW0079
b0082	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	rsmH mraW yabC b0082 JW0080
b0083	Cell division protein FtsL	ftsL mraR yabD b0083 JW0081
b0084	Peptidoglycan D,D-transpeptidase FtsI (EC 3.4.16.4) (Essential cell division protein FtsI) (Murein transpeptidase) (Penicillin-binding protein 3) (PBP-3) (Peptidoglycan synthase FtsI)	ftsI pbpB b0084 JW0082
b0085	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE b0085 JW0083
b0086	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme) (UDP-MurNAc-pentapeptide synthetase)	murF mra b0086 JW0084
b0087	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	mraY murX b0087 JW0085
b0088	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	murD b0088 JW0086
b0089	Probable peptidoglycan glycosyltransferase FtsW (PGT) (EC 2.4.1.129) (Cell division protein FtsW) (Cell wall polymerase) (Lipid II flippase FtsW) (Peptidoglycan polymerase) (PG polymerase)	ftsW b0089 JW0087
b0090	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG b0090 JW0088
b0091	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	murC b0091 JW0089
b0092	D-alanine--D-alanine ligase B (EC 6.3.2.4) (D-Ala-D-Ala ligase B) (D-alanylalanine synthetase B)	ddlB ddl b0092 JW0090
b0093	Cell division protein FtsQ	ftsQ b0093 JW0091
b0094	Cell division protein FtsA	ftsA divA b0094 JW0092
b0095	Cell division protein FtsZ	ftsZ sfiB sulB b0095 JW0093
b0096	UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (Protein EnvA) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase)	lpxC asmB envA b0096 JW0094
b0097	Secretion monitor	secM srrA yacA b0097 JW5007
b0098	Protein translocase subunit SecA (EC 7.4.2.8)	secA azi pea prlD b0098 JW0096
b0099	8-oxo-dGTP diphosphatase (8-oxo-dGTPase) (EC 3.6.1.55) (7,8-dihydro-8-oxoguanine-triphosphatase) (Mutator protein MutT) (dGTP pyrophosphohydrolase)	mutT b0099 JW0097
b0101	DNA gyrase inhibitor YacG	yacG b0101 JW5008
b0102	Cell division protein ZapD (Z ring-associated protein D)	zapD yacF b0102 JW0099
b0103	Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase)	coaE yacE b0103 JW0100
b4727	Protein YacM	yacM b4727
b0104	GMP reductase (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase) (Guanosine monophosphate reductase)	guaC b0104 JW0101
b0106	Protein transport protein HofC homolog	hofC hopC yacD b0106 JW0102
b0107	Protein transport protein HofB homolog	hofB hopB b0107 JW0103
b0108	Prepilin peptidase-dependent protein D	ppdD b0108 JW0104
b0109	Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]) (QAPRTase)	nadC b0109 JW0105
b0110	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD (EC 3.5.1.28) (N-acetylmuramoyl-L-alanine amidase)	ampD b0110 JW0106
b0111	Protein AmpE	ampE b0111 JW0107
b0112	Aromatic amino acid transport protein AroP (Aromatic amino acid:H(+) symporter AroP) (General aromatic amino acid permease) (General aromatic transport system)	aroP b0112 JW0108
b0113	Pyruvate dehydrogenase complex repressor	pdhR aceC genA yacB b0113 JW0109
b0114	Pyruvate dehydrogenase E1 component (PDH E1 component) (EC 1.2.4.1)	aceE b0114 JW0110
b0115	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (E2)	aceF b0115 JW0111
b0116	Dihydrolipoyl dehydrogenase (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes) (Glycine cleavage system L protein)	lpdA lpd b0116 JW0112
b0117	Uncharacterized protein YacH	yacH b0117 JW0113
b0118	Aconitate hydratase B (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein)	acnB yacI yacJ b0118 JW0114
b0119	UPF0231 protein YacL	yacL b0119 JW0115
b0120	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain]	speD b0120 JW0116
b0121	Polyamine aminopropyltransferase (Cadaverine aminopropyltransferase) (EC 2.5.1.-) (Putrescine aminopropyltransferase) (PAPT) (Spermidine aminopropyltransferase) (EC 2.5.1.79) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16) (Spermine synthase) (EC 2.5.1.22) (Thermospermine synthase)	speE b0121 JW0117
b0122	Uncharacterized protein YacC	yacC b0122 JW0118
b0123	Multicopper oxidase CueO (MCO) (EC 1.16.3.4) (Blue copper oxidase CueO) (Copper efflux oxidase) (Cu efflux oxidase) (Cuprous oxidase)	cueO yacK b0123 JW0119
b0124	Quinoprotein glucose dehydrogenase (EC 1.1.5.2) (Glucose dehydrogenase [pyrroloquinoline-quinone])	gcd b0124 JW0120
b0125	Hypoxanthine phosphoribosyltransferase (HPRT) (EC 2.4.2.8) (6-oxopurine phosphoribosyltransferase) (6-oxopurine PRTase)	hpt b0125 JW5009
b0126	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase 2)	can cynT2 yadF b0126 JW0122
b0127	Uncharacterized ABC transporter ATP-binding protein YadG	yadG b0127 JW0123
b0128	Inner membrane transport permease YadH	yadH b0128 JW0124
b0129	Putative phosphotransferase enzyme IIA component YadI (Putative PTS system EIIA component)	yadI b0129 JW0125
b0130	Uncharacterized protein YadE	yadE b0130 JW0126
b0131	Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]	panD b0131 JW0127
b0132	Recombination-promoting nuclease RpnC (EC 3.1.21.-)	rpnC yadD b0132 JW5010
b0133	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC b0133 JW0129
b0134	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	panB b0134 JW0130
b0135	Uncharacterized fimbrial-like protein YadC	yadC b0135 JW0131
b0136	Uncharacterized fimbrial-like protein YadK	yadK b0136 JW0132
b0137	Uncharacterized fimbrial-like protein YadL	yadL b0137 JW0133
b0138	Uncharacterized fimbrial-like protein YadM	yadM b0138 JW0134
b0139	Outer membrane usher protein HtrE (Heat shock protein E)	htrE b0139 JW0135
b0140	Probable fimbrial chaperone YadV	yadV ecpD b0140 JW0136
b0141	Uncharacterized fimbrial-like protein YadN	yadN b0141 JW0137
b0142	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3) (6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase) (PPPK) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase) (HPPK)	folK b0142 JW0138
b0143	Poly(A) polymerase I (PAP I) (EC 2.7.7.19) (Plasmid copy number protein)	pcnB b0143 JW5808
b0144	Glutamyl-Q tRNA(Asp) synthetase (Glu-Q-RSs) (EC 6.1.1.-)	gluQ yadB b0144 JW5892
b0145	RNA polymerase-binding transcription factor DksA (DnaK suppressor protein)	dksA b0145 JW0141
b0146	Sugar fermentation stimulation protein A	sfsA sfs1 b0146 JW0142
b0147	RNA 2',3'-cyclic phosphodiesterase (RNA 2',3'-CPDase) (EC 3.1.4.58) (Two-histidine 2',3'-cyclic phosphodiesterase acting on RNA)	thpR ligT yadP b0147 JW5011
b0148	ATP-dependent RNA helicase HrpB (EC 3.6.4.13)	hrpB yadO b0148 JW0144
b0149	Penicillin-binding protein 1B (PBP-1b) (PBP1b) (Murein polymerase) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase) (Peptidoglycan glycosyltransferase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	mrcB pbpF ponB b0149 JW0145
b0150	Ferrichrome outer membrane transporter/phage receptor (Ferric hydroxamate receptor) (Ferric hydroxamate uptake) (Ferrichrome-iron receptor)	fhuA tonA b0150 JW0146
b0151	Iron(3+)-hydroxamate import ATP-binding protein FhuC (EC 7.2.2.16) (Ferric hydroxamate uptake protein C) (Ferrichrome transport ATP-binding protein FhuC) (Iron(III)-hydroxamate import ATP-binding protein FhuC)	fhuC b0151 JW0147
b0152	Iron(3+)-hydroxamate-binding protein FhuD (Ferric hydroxamate uptake protein D) (Ferrichrome-binding periplasmic protein) (Iron(III)-hydroxamate-binding protein FhuD)	fhuD b0152 JW0148
b0153	Iron(3+)-hydroxamate import system permease protein FhuB (Ferric hydroxamate uptake protein B) (Ferrichrome transport system permease protein FhuB) (Ferrichrome uptake protein FhuB) (Iron(III)-hydroxamate import system permease protein FhuB)	fhuB b0153 JW0149
b0154	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL gsa popC b0154 JW0150
b0155	H(+)/Cl(-) exchange transporter ClcA (ClC-ec1)	clcA eriC yadQ b0155 JW5012
b4728	Protein YadW	yadW b4728
b0156	Iron-sulfur cluster insertion protein ErpA	erpA yadR b0156 JW0152
b0157	UPF0126 inner membrane protein YadS	yadS b0157 JW0153
b0158	Vitamin B12-binding protein	btuF yadT b0158 JW0154
b0159	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (MTA/SAH nucleosidase) (MTAN) (EC 3.2.2.9) (5'-deoxyadenosine nucleosidase) (DOA nucleosidase) (dAdo nucleosidase) (5'-methylthioadenosine nucleosidase) (MTA nucleosidase) (S-adenosylhomocysteine nucleosidase) (AdoHcy nucleosidase) (SAH nucleosidase) (SRH nucleosidase)	mtnN mtn pfs yadA b0159 JW0155
b0160	Deoxyguanosinetriphosphate triphosphohydrolase (dGTP triphosphohydrolase) (dGTPase) (EC 3.1.5.1)	dgt b0160 JW0156
b0161	Periplasmic serine endoprotease DegP (EC 3.4.21.107) (Heat shock protein DegP) (Protease Do)	degP htrA ptd b0161 JW0157
b0162	Carbohydrate diacid regulator (Sugar diacid regulator)	cdaR sdaR yaeG b0162 JW5013
b0163	UPF0325 protein YaeH	yaeH b0163 JW0159
b0164	Phosphodiesterase YaeI (EC 3.1.4.-)	yaeI b0164 JW5014
b0166	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Succinyl-CoA: tetrahydrodipicolinate N-succinyltransferase) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)	dapD b0166 JW0161
b0167	Bifunctional uridylyltransferase/uridylyl-removing enzyme (UTase/UR) (Bifunctional [protein-PII] modification enzyme) (Bifunctional nitrogen sensor protein) [Includes: [Protein-PII] uridylyltransferase (PII uridylyltransferase) (UTase) (EC 2.7.7.59); [Protein-PII]-UMP uridylyl-removing enzyme (UR) (EC 3.1.4.-)]	glnD b0167 JW0162
b0168	Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M)	map b0168 JW0163
b0169	30S ribosomal protein S2 (Small ribosomal subunit protein uS2)	rpsB b0169 JW0164
b0170	Elongation factor Ts (EF-Ts) (Bacteriophage Q beta RNA-directed RNA polymerase subunit IV)	tsf b0170 JW0165
b0171	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	pyrH smbA b0171 JW0166
b0172	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)	frr rrf b0172 JW0167
b0173	1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)	dxr ispC yaeM b0173 JW0168
b0174	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific) (EC 2.5.1.31) (Ditrans,polycis-undecaprenylcistransferase) (Undecaprenyl diphosphate synthase) (UDS) (Undecaprenyl pyrophosphate synthase) (UPP synthase)	ispU rth uppS yaeS b0174 JW0169
b0175	Phosphatidate cytidylyltransferase (EC 2.7.7.41) (CDP-DAG synthase) (CDP-DG synthase) (CDP-diacylglycerol synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CTP:phosphatidate cytidylyltransferase)	cdsA cds b0175 JW5810
b0176	Regulator of sigma-E protease RseP (EC 3.4.24.-) (S2P endopeptidase) (Site-2 protease RseP) (S2P protease RseP) (Site-2-type intramembrane protease)	rseP ecfE yaeL b0176 JW0171
b0177	Outer membrane protein assembly factor BamA (Omp85)	bamA yaeT yzzN yzzY b0177 JW0172
b0178	Chaperone protein Skp (DNA-binding 17 kDa protein) (Histone-like protein HLP-1) (Seventeen kilodalton protein)	skp hlpA ompH b0178 JW0173
b0179	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase (UDP-3-O-(3-OHC14)-GlcN N-acyltransferase) (EC 2.3.1.191) (Protein FirA) (Rifampicin resistance protein) (UDP-3-O-(3-hydroxytetradecanoyl)glucosamine N-acyltransferase)	lpxD firA omsA b0179 JW0174
b0180	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (17 kDa actomyosin component) (Beta-hydroxyacyl-ACP dehydratase)	fabZ sefA yaeA b0180 JW0175
b0181	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129)	lpxA b0181 JW0176
b0182	Lipid-A-disaccharide synthase (EC 2.4.1.182)	lpxB pgsB b0182 JW0177
b0183	Ribonuclease HII (RNase HII) (EC 3.1.26.4)	rnhB b0183 JW0178
b0184	DNA polymerase III subunit alpha (EC 2.7.7.7)	dnaE polC b0184 JW0179
b0185	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA b0185 JW0180
b0186	Constitutive lysine decarboxylase (LDCC) (EC 4.1.1.18)	ldcC ldc ldcH b0186 JW0181
b0187	Uncharacterized protein YaeR	yaeR b0187 JW0182
b0188	tRNA(Ile)-lysidine synthase (EC 6.3.4.19) (tRNA(Ile)-2-lysyl-cytidine synthase) (tRNA(Ile)-lysidine synthetase)	tilS mesJ yaeN b0188 JW0183
b0189	Protein rof	rof yaeO b0189 JW0184
b4406	UPF0253 protein YaeP	yaeP b4406 JW0185
b0190	Uncharacterized protein YaeQ	yaeQ b0190 JW0186
b0191	Peptidyl-tRNA hydrolase ArfB (PTH) (EC 3.1.1.29) (Alternative ribosome-rescue factor B)	arfB yaeJ b0191 JW0187
b0192	Lipoprotein NlpE (Copper homeostasis protein CutF)	nlpE cutF b0192 JW0188
b0193	Probable lipoprotein peptidase YaeF (EC 3.4.-.-) (Uncharacterized lipoprotein YaeF)	yaeF yaeK b0193 JW5016
b0194	Proline--tRNA ligase (EC 6.1.1.15) (Global RNA synthesis factor) (Prolyl-tRNA synthetase) (ProRS)	proS drpA b0194 JW0190
b0195	tRNA (adenine(37)-N6)-methyltransferase (EC 2.1.1.-) (tRNA (m6t6A37) methyltransferase) (tRNA methyltransferase O)	trmO tsaA yaeB b0195 JW0191
b0196	Outer membrane lipoprotein RcsF	rcsF b0196 JW0192
b0197	D-methionine-binding lipoprotein MetQ	metQ yaeC b0197 JW0193
b0198	D-methionine transport system permease protein MetI	metI yaeE b0198 JW0194
b0199	Methionine import ATP-binding protein MetN (EC 7.4.2.11)	metN abc b0199 JW0195
b0200	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82) (D,D-heptose 1,7-bisphosphate phosphatase) (HBP phosphatase)	gmhB yaeD b0200 JW0196
b0207	2,5-diketo-D-gluconic acid reductase B (2,5-DKG reductase B) (2,5-DKGR B) (25DKGR-B) (EC 1.1.1.346) (AKR5D)	dkgB yafB b0207 JW0197
b0208	Uncharacterized HTH-type transcriptional regulator YafC	yafC b0208 JW0198
b0209	UPF0294 protein YafD	yafD b0209 JW5017
b0210	Uncharacterized protein YafE	yafE b0210 JW0200
b0211	Membrane-bound lytic murein transglycosylase D (EC 4.2.2.n1) (Murein hydrolase D) (Regulatory protein DniR)	mltD dniR yafG b0211 JW5018
b0212	Hydroxyacylglutathione hydrolase GloB (EC 3.1.2.6) (Glyoxalase II) (Glx II)	gloB yafR b0212 JW0202
b0213	Uncharacterized protein YafS	yafS b0213 JW0203
