Entry	Gene Names	Protein names
P00893	ilvI b0077 JW0076	Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit)
P00894	ilvH brnP b0078 JW0077	Acetolactate synthase isozyme 3 small subunit (EC 2.2.1.6) (ALS-III) (Acetohydroxy-acid synthase III small subunit) (AHAS-III)
P00903	pabA b3360 JW3323	Aminodeoxychorismate synthase component 2 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 2) (Aminodeoxychorismate synthase, glutamine amidotransferase component)
P00904	trpGD trpD b1263 JW1255	Bifunctional protein TrpGD [Includes: Anthranilate synthase component 2 (AS) (ASII) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Anthranilate phosphoribosyltransferase (EC 2.4.2.18)]
P00914	phrB phr b0708 JW0698	Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme)
P00926	dsdA b2366 JW2363	D-serine dehydratase (EC 4.3.1.18) (D-serine deaminase) (DSD)
P00935	metB b3939 JW3910	Cystathionine gamma-synthase (CGS) (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase)
P00936	cyaA cya b3806 JW3778	Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase)
P00946	manA pmi b1613 JW1605	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)
P00956	ileS ilvS b0026 JW0024	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)
P00957	alaS lovB b2697 JW2667	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)
P00959	metG b2114 JW2101	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)
P00962	glnS b0680 JW0666	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)
P00963	asnA b3744 JW3722	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)
P00968	carB pyrA b0033 JW0031	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)
P02358	rpsF b4200 JW4158	30S ribosomal protein S6 (Small ribosomal subunit protein bS6) [Cleaved into: 30S ribosomal protein S6, fully modified isoform; 30S ribosomal protein S6, non-modified isoform]
P02359	rpsG b3341 JW3303	30S ribosomal protein S7 (Small ribosomal subunit protein uS7)
P02916	malF b4033 JW3993	Maltose/maltodextrin transport system permease protein MalF
P02918	mrcA ponA b3396 JW3359	Penicillin-binding protein 1A (PBP-1a) (PBP1a) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]
P02919	mrcB pbpF ponB b0149 JW0145	Penicillin-binding protein 1B (PBP-1b) (PBP1b) (Murein polymerase) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase) (Peptidoglycan glycosyltransferase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]
P02920	lacY b0343 JW0334	Lactose permease (Lactose-proton symport)
P02921	melB mel-4 b4120 JW4081	Melibiose permease (Melibiose carrier) (Melibiose transporter) (Melibiose/cation symporter) (Na+ (Li+)/melibiose symporter) (Thiomethylgalactoside permease II)
P02924	araF b1901 JW1889	L-arabinose-binding periplasmic protein (ABP)
P02925	rbsB prlB rbsP b3751 JW3730	Ribose import binding protein RbsB
P02929	tonB exbA b1252 JW5195	Protein TonB
P02930	tolC colE1-i mtcB mukA refI toc weeA b3035 JW5503	Outer membrane protein TolC (Multidrug efflux pump subunit TolC) (Outer membrane factor TolC)
P02931	ompF cmlB coa cry tolF b0929 JW0912	Outer membrane porin F (Outer membrane protein 1A) (Outer membrane protein B) (Outer membrane protein F) (Outer membrane protein IA) (Porin OmpF)
P02942	tsr cheD b4355 JW4318	Methyl-accepting chemotaxis protein I (MCP-I) (Serine chemoreceptor protein)
P02943	lamB malB b4036 JW3996	Maltoporin (Maltose outer membrane channel) (Maltose-inducible porin) (Phage lambda receptor protein)
P03004	dnaA b3702 JW3679	Chromosomal replication initiator protein DnaA
P03007	dnaQ mutD b0215 JW0205	DNA polymerase III subunit epsilon (EC 2.7.7.7)
P03018	uvrD mutU pdeB rad recL b3813 JW3786	DNA helicase II (EC 3.6.4.12)
P03023	lacI b0345 JW0336	Lactose operon repressor
P03819	kefC trkC b0047 JW0046	Glutathione-regulated potassium-efflux system protein KefC (K(+)/H(+) antiporter)
P03959	kdpA b0698 JW0686	Potassium-transporting ATPase potassium-binding subunit (ATP phosphohydrolase [potassium-transporting] A chain) (Potassium-binding and translocating subunit A) (Potassium-translocating ATPase A chain)
P03960	kdpB b0697 JW0685	Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)
P03961	kdpC b0696 JW0684	Potassium-transporting ATPase KdpC subunit (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain)
P04036	dapB b0031 JW0029	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)
P04079	guaA b2507 JW2491	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (GMPS) (Glutamine amidotransferase)
P04152	umuC b1184 JW1173	Protein UmuC (DNA polymerase V) (Pol V)
P04391	argI b4254 JW4211	Ornithine carbamoyltransferase subunit I (OTCase-1) (EC 2.1.3.3)
P04395	alkA aidA b2068 JW2053	DNA-3-methyladenine glycosylase 2 (EC 3.2.2.21) (3-methyladenine-DNA glycosylase II, inducible) (TAG II) (DNA-3-methyladenine glycosidase II) (DNA-3-methyladenine glycosylase II)
P04425	gshB gsh-II b2947 JW2914	Glutathione synthetase (EC 6.3.2.3) (GSH synthetase) (GSH-S) (GSHase) (Glutathione synthase)
P04693	tyrB b4054 JW4014	Aromatic-amino-acid aminotransferase (ARAT) (AROAT) (EC 2.6.1.57) (Beta-methylphenylalanine transaminase) (EC 2.6.1.107)
P04737	traA ECOK12F074	Pilin (F-pilin)
P04805	gltX b2400 JW2395	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)
P04825	pepN b0932 JW0915	Aminopeptidase N (EC 3.4.11.2) (Alpha-aminoacylpeptide hydrolase)
P04968	ilvA b3772 JW3745	L-threonine dehydratase biosynthetic IlvA (EC 4.3.1.19) (Threonine deaminase)
P04982	rbsD b3748 JW5857	D-ribose pyranase (EC 5.4.99.62)
P04983	rbsA b3749 JW3728	Ribose import ATP-binding protein RbsA (EC 7.5.2.7)
P04993	recD hopE b2819 JW2787	RecBCD enzyme subunit RecD (EC 3.1.11.5) (Exodeoxyribonuclease V 67 kDa polypeptide) (Exodeoxyribonuclease V alpha chain) (Exonuclease V subunit RecD) (ExoV subunit RecD) (Helicase/nuclease RecBCD subunit RecD)
P04994	xseA b2509 JW2493	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (ExoVII large subunit) (Exonuclease VII large subunit)
P04995	sbcB cpeA xonA b2011 JW1993	Exodeoxyribonuclease I (ExoI) (Exonuclease I) (EC 3.1.11.1) (DNA deoxyribophosphodiesterase) (dRPase)
P05020	pyrC b1062 JW1049	Dihydroorotase (DHOase) (EC 3.5.2.3)
P05041	pabB b1812 JW1801	Aminodeoxychorismate synthase component 1 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 1)
P05042	fumC b1611 JW1603	Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2) (Aerobic fumarase) (Iron-independent fumarase)
P05050	alkB aidD b2212 JW2200	Alpha-ketoglutarate-dependent dioxygenase AlkB (EC 1.14.11.33) (Alkylated DNA repair protein AlkB) (DNA oxidative demethylase AlkB)
P05055	pnp b3164 JW5851	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)
P05194	aroD b1693 JW1683	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)
P05458	ptrA ptr b2821 JW2789	Protease 3 (EC 3.4.24.55) (Pitrilysin) (Protease III) (Protease pi)
P05523	mutM fpg b3635 JW3610	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)
P05637	apaH b0049 JW0048	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] (EC 3.6.1.41) (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate pyrophosphohydrolase) (Diadenosine tetraphosphatase)
P05704	trg b1421 JW1417	Methyl-accepting chemotaxis protein III (MCP-III) (Ribose and galactose chemoreceptor protein)
P05706	srlB gutB b2704 JW2673	PTS system glucitol/sorbitol-specific EIIA component (EIIA-Gut) (EIII-Gut) (Glucitol/sorbitol-specific phosphotransferase enzyme IIA component)
P05791	ilvD b3771 JW5605	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)
P05793	ilvC b3774 JW3747	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 2) (Ketol-acid reductoisomerase type II)
P05824	recN radB b2616 JW5416	DNA repair protein RecN (Recombination protein N)
P05825	fepA fep feuB b0584 JW5086	Ferrienterobactin receptor (Enterobactin outer-membrane receptor)
P05852	tsaD gcp ygjD b3064 JW3036	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)
P06129	btuB bfe cer dcrC b3966 JW3938	Vitamin B12 transporter BtuB (Cobalamin receptor) (Outer membrane cobalamin translocator)
P06134	ada b2213 JW2201	Bifunctional transcriptional activator/DNA repair enzyme Ada (Regulatory protein of adaptive response) [Includes: Methylphosphotriester-DNA--protein-cysteine S-methyltransferase (EC 2.1.1.n11) (Methylphosphotriester-DNA methyltransferase); Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (O6-methylguanine-DNA alkyltransferase)]
P06136	ftsQ b0093 JW0091	Cell division protein FtsQ
P06149	dld b2133 JW2121	Quinone-dependent D-lactate dehydrogenase (EC 1.1.5.12) ((R)-lactate:quinone 2-oxidoreductase) (D-lactate dehydrogenase) (D-LDH) (Respiratory D-lactate dehydrogenase)
P06609	btuC b1711 JW1701	Vitamin B12 import system permease protein BtuC
P06611	btuD b1709 JW1699	Vitamin B12 import ATP-binding protein BtuD (EC 7.6.2.8) (Vitamin B12-transporting ATPase)
P06612	topA supX b1274 JW1266	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I) (Omega-protein) (Relaxing enzyme) (Swivelase) (Untwisting enzyme)
P06616	era rbaA sdgE b2566 JW2550	GTPase Era (ERA) (GTP-binding protein Era)
P06709	birA bioR dhbB b3973 JW3941	Bifunctional ligase/repressor BirA (Biotin operon repressor) (Biotin--[acetyl-CoA-carboxylase] ligase) (EC 6.3.4.15) (Biotin--protein ligase) (Biotin-[acetyl-CoA carboxylase] synthetase)
P06710	dnaX dnaZ dnaZX b0470 JW0459	DNA polymerase III subunit tau (EC 2.7.7.7) (DNA polymerase III subunit gamma)
P06715	gor b3500 JW3467	Glutathione reductase (GR) (GRase) (EC 1.8.1.7)
P06721	metC b3008 JW2975	Cystathionine beta-lyase MetC (CBL) (CL) (EC 4.4.1.13) (Beta-cystathionase MetC) (Cysteine desulfhydrase MetC) (CD) (EC 4.4.1.28) (Cysteine lyase MetC) (Cysteine-S-conjugate beta-lyase MetC)
P06722	mutH mutR prv b2831 JW2799	DNA mismatch repair protein MutH (Methyl-directed mismatch repair protein)
P06959	aceF b0115 JW0111	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (E2)
P06960	argF b0273 JW0266	Ornithine carbamoyltransferase subunit F (OTCase-2) (EC 2.1.3.3)
P06961	cca b3056 JW3028	Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase (EC 3.1.3.-)]
P06968	dut dnaS sof b3640 JW3615	Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)
P06971	fhuA tonA b0150 JW0146	Ferrichrome outer membrane transporter/phage receptor (Ferric hydroxamate receptor) (Ferric hydroxamate uptake) (Ferrichrome-iron receptor)
P06974	fliM cheC2 fla AII fla QII b1945 JW1929	Flagellar motor switch protein FliM
P06983	hemC popE b3805 JW5932	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)
P06988	hisD b2020 JW2002	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)
P06992	rsmA ksgA b0051 JW0050	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (High level kasugamycin resistance protein KsgA) (Kasugamycin dimethyltransferase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)
P06993	malT malA b3418 JW3381	HTH-type transcriptional regulator MalT (ATP-dependent transcriptional activator MalT)
P06996	ompC meoA par b2215 JW2203	Outer membrane porin C (Outer membrane protein 1B) (Outer membrane protein C) (Porin OmpC)
P06999	pfkB b1723 JW5280	ATP-dependent 6-phosphofructokinase isozyme 2 (ATP-PFK 2) (Phosphofructokinase 2) (EC 2.7.1.11) (6-phosphofructokinase isozyme II) (Phosphohexokinase 2)
P07001	pntA b1603 JW1595	NAD(P) transhydrogenase subunit alpha (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase subunit alpha) (Pyridine nucleotide transhydrogenase subunit alpha)
P07003	poxB b0871 JW0855	Pyruvate dehydrogenase [ubiquinone] (EC 1.2.5.1) (Pyruvate oxidase) (POX) (Pyruvate:ubiquinone-8 oxidoreductase)
P07004	proA b0243 JW0233	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)
P07012	prfB supK b2891 JW5847	Peptide chain release factor RF2 (RF-2)
P07013	priB b4201 JW4159	Primosomal replication protein N
P07014	sdhB b0724 JW0714	Succinate dehydrogenase iron-sulfur subunit (EC 1.3.5.1)
P07017	tar cheM b1886 JW1875	Methyl-accepting chemotaxis protein II (MCP-II) (Aspartate chemoreceptor protein)
P07024	ushA b0480 JW0469	Protein UshA [Includes: UDP-sugar hydrolase (EC 3.6.1.45) (UDP-sugar diphosphatase) (UDP-sugar pyrophosphatase); 5'-nucleotidase (5'-NT) (EC 3.1.3.5)]
P07102	appA b0980 JW0963	Phytase AppA (EC 3.1.3.-) (6-phytase) (Histidine acid phosphatase phytase) (HAP phytase) (Myo-inositol hexakisphosphate phosphohydrolase) (Phosphoanhydride phosphatase) (EC 3.6.1.-) (pH 2.5 acid phosphatase) (Acid phosphatase) (EC 3.1.3.-)
P07117	putP b1015 JW1001	Sodium/proline symporter (Proline carrier) (Proline permease) (Propionate transporter)
P07118	valS b4258 JW4215	Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)
P07330	cheB b1883 JW1872	Protein-glutamate methylesterase/protein-glutamine glutaminase (EC 3.1.1.61) (EC 3.5.1.44) (Chemotaxis response regulator protein-glutamate methylesterase/glutamine deamidase) (Methyl-accepting chemotaxis proteins-specific methylesterase/deamidase) (MCP-specific methylesterase/deamidase)
P07363	cheA b1888 JW1877	Chemotaxis protein CheA (EC 2.7.13.3)
P07395	pheT b1713 JW1703	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)
P07464	lacA b0342 JW0333	Galactoside O-acetyltransferase (GAT) (EC 2.3.1.18) (Acetyl-CoA:galactoside 6-O-acetyltransferase) (Thiogalactoside acetyltransferase) (Thiogalactoside transacetylase)
P07604	tyrR b1323 JW1316	HTH-type transcriptional regulatory protein TyrR
P07623	metAS metA b4013 JW3973	Homoserine O-succinyltransferase (HST) (EC 2.3.1.46) (Homoserine transsuccinylase) (HTS)
P07639	aroB b3389 JW3352	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)
P07648	recC b2822 JW2790	RecBCD enzyme subunit RecC (EC 3.1.11.5) (Exodeoxyribonuclease V 125 kDa polypeptide) (Exodeoxyribonuclease V gamma chain) (Exonuclease V subunit RecC) (ExoV subunit RecC)
P07649	truA asuC hisT leuK b2318 JW2315	tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (PSU-I) (tRNA-uridine isomerase I)
P07658	fdhF b4079 JW4040	Formate dehydrogenase H (EC 1.17.98.4) (Formate dehydrogenase-H subunit alpha) (FDH-H) (Formate-hydrogen-lyase-linked, selenocysteine-containing polypeptide)
P07862	ddlB ddl b0092 JW0090	D-alanine--D-alanine ligase B (EC 6.3.2.4) (D-Ala-D-Ala ligase B) (D-alanylalanine synthetase B)
P07913	tdh b3616 JW3591	L-threonine 3-dehydrogenase (TDH) (EC 1.1.1.103) (L-threonine dehydrogenase)
P08142	ilvB b3671 JW3646	Acetolactate synthase isozyme 1 large subunit (AHAS-I) (EC 2.2.1.6) (Acetohydroxy-acid synthase I large subunit) (ALS-I)
P08179	purN b2500 JW2485	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)
P08191	fimH b4320 JW4283	Type 1 fimbrin D-mannose specific adhesin (Protein FimH)
P08192	folC dedC b2315 JW2312	Dihydrofolate synthase/folylpolyglutamate synthase (DHFS / FPGS) (EC 6.3.2.12) (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase-dihydrofolate synthetase) (Folylpolyglutamate synthetase) (Tetrahydrofolylpolyglutamate synthase)
P08194	glpT b2240 JW2234	Glycerol-3-phosphate transporter (G-3-P transporter) (G-3-P permease)
P08200	icd icdA icdE b1136 JW1122	Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)
P08201	nirB b3365 JW3328	Nitrite reductase (NADH) large subunit (EC 1.7.1.15)
P08203	araD b0061 JW0060	L-ribulose-5-phosphate 4-epimerase AraD (EC 5.1.3.4) (Phosphoribulose isomerase)
P08244	pyrF b1281 JW1273	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)
P08312	pheS b1714 JW5277	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)
P08331	cpdB b4213 JW4171	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase (EC 3.1.3.6) (EC 3.1.4.16)
P08337	mutT b0099 JW0097	8-oxo-dGTP diphosphatase (8-oxo-dGTPase) (EC 3.6.1.55) (7,8-dihydro-8-oxoguanine-triphosphatase) (Mutator protein MutT) (dGTP pyrophosphohydrolase)
P08365	chpS chpBI yjfB b4224 JW5750	Antitoxin ChpS
P08373	murB yijB b3972 JW3940	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase)
P08394	recB ior rorA b2820 JW2788	RecBCD enzyme subunit RecB (EC 3.1.11.5) (Exodeoxyribonuclease V 135 kDa polypeptide) (Exodeoxyribonuclease V beta chain) (Exonuclease V subunit RecB) (ExoV subunit RecB) (Helicase/nuclease RecBCD subunit RecB)
P08395	sppA b1766 JW1755	Protease 4 (EC 3.4.21.-) (Endopeptidase IV) (Protease IV) (Signal peptide peptidase)
P08400	phoR nmpB b0400 JW0390	Phosphate regulon sensor protein PhoR (EC 2.7.13.3)
P08506	dacC b0839 JW0823	D-alanyl-D-alanine carboxypeptidase DacC (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein 6) (PBP-6)
P08622	dnaJ groP b0015 JW0014	Chaperone protein DnaJ (HSP40) (Heat shock protein J)
P08660	lysC apk b4024 JW3984	Lysine-sensitive aspartokinase 3 (EC 2.7.2.4) (Aspartate kinase III) (AKIII) (Lysine-sensitive aspartokinase III)
P08839	ptsI b2416 JW2409	Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system, enzyme I)
P08956	hsdR hsr b4350 JW4313	Type I restriction enzyme EcoKI endonuclease subunit (EcoKI) (R protein) (EC 3.1.21.3)
P09029	purK b0522 JW0511	N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase)
P09030	xthA xth b1749 JW1738	Exodeoxyribonuclease III (EXO III) (Exonuclease III) (EC 3.1.11.2) (AP endonuclease VI)
P09099	xylB b3564 JW3536	Xylulose kinase (XK) (Xylulokinase) (EC 2.7.1.17) (1-deoxy-D-xylulokinase) (EC 2.7.1.-)
P09130	traD ECOK12F102	Coupling protein TraD (DNA transport protein TraD)
P09147	galE galD b0759 JW0742	UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-galactose 4-epimerase)
P09148	galT galB b0758 JW0741	Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase)
P09152	narG bisD narC b1224 JW1215	Respiratory nitrate reductase 1 alpha chain (EC 1.7.5.1) (Nitrate reductase A subunit alpha) (Quinol-nitrate oxidoreductase subunit alpha)
P09158	speE b0121 JW0117	Polyamine aminopropyltransferase (Cadaverine aminopropyltransferase) (EC 2.5.1.-) (Putrescine aminopropyltransferase) (PAPT) (Spermidine aminopropyltransferase) (EC 2.5.1.79) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16) (Spermine synthase) (EC 2.5.1.22) (Thermospermine synthase)
P09169	ompT b0565 JW0554	Protease 7 (EC 3.4.23.49) (Omptin) (Outer membrane protein 3B) (Protease A) (Protease VII)
P09323	nagE pstN b0679 JW0665	PTS system N-acetylglucosamine-specific EIICBA component (EIICBA-Nag) (EII-Nag) [Includes: N-acetylglucosamine permease IIC component (PTS system N-acetylglucosamine-specific EIIC component); N-acetylglucosamine-specific phosphotransferase enzyme IIB component (EC 2.7.1.193) (PTS system N-acetylglucosamine-specific EIIB component); N-acetylglucosamine-specific phosphotransferase enzyme IIA component (PTS system N-acetylglucosamine-specific EIIA component)]
P09348	motA flaJ b1890 JW1879	Motility protein A (Chemotaxis protein MotA)
P09372	grpE b2614 JW2594	Protein GrpE (HSP-70 cofactor) (HSP24) (Heat shock protein B25.3)
P09373	pflB pfl b0903 JW0886	Formate acetyltransferase 1 (EC 2.3.1.54) (Pyruvate formate-lyase 1)
P09377	rhaS rhaC2 b3905 JW3876	HTH-type transcriptional activator RhaS (L-rhamnose operon regulatory protein RhaS)
P09391	glpG b3424 JW5687	Rhomboid protease GlpG (EC 3.4.21.105) (Intramembrane serine protease)
P09394	glpQ b2239 JW2233	Glycerophosphodiester phosphodiesterase, periplasmic (Glycerophosphoryl diester phosphodiesterase, periplasmic) (EC 3.1.4.46)
