	protein	gene
YP_004888154.1	FMN-dependent NADH:quinone oxidoreductase 1 (EC 1.6.5.-) (Azo-dye reductase 1) (FMN-dependent NADH-azo compound oxidoreductase 1) (FMN-dependent NADH-azoreductase 1) (EC 1.7.1.17)	azoR1 lp_0075
YP_004888155.1	Elongation factor G	fusA1 lp_0076
YP_004888156.1	DUF4123 domain-containing protein	lp_0077
YP_004888157.1	Permease, drug/metabolite transporter (DMT) superfamily	lp_0078
YP_004888158.1	Acetyltransferase, GNAT family	lp_0080
YP_004888159.1	ThiJ/PfpI family protein, Type 1 glutamine amidotransferase (GATase1)-like domain	lp_0081
YP_004888160.1	Medium chain dehydrogenases/reductase (MDR)/zinc-dependent alcohol dehydrogenase-like family protein (EC 1.-.-.-)	lp_0082
YP_004888161.1	Transcription regulator, ArsR family	lp_0083
YP_004888162.1	Multidrug export protein MepA	lp_0085
YP_004888163.1	Proline iminopeptidase (PIP) (EC 3.4.11.5) (Prolyl aminopeptidase) (PAP)	pip pepI lp_0088
YP_004888164.1	UPF0246 protein lp_0089	lp_0089
YP_004888165.1	Pyridoxamine 5'-phosphate oxidase family protein, FMN-binding	lp_0091
YP_004888166.1	Oligopeptide ABC transporter,lipoprotein-binding protein	lp_0092
YP_004888167.1	TIGR04255 family protein	lp_0096
YP_004888168.1	Spectinomycin 9-adenylyltransferase	lp_0098
YP_004888169.1	DUF4329 domain-containing protein	lp_0099
YP_004888170.1	Nickel import ATP-binding protein LarO (EC 7.2.2.-) (Energy-coupling factor transporter ATP-binding protein LarO) (ECF transporter A component LarO) (Nickel transport ATP-binding protein)	larO lp_0100
YP_004888171.1	Nickel permease LarQ (Energy-coupling factor transporter transmembrane protein LarQ) (ECF transporter T component LarQ)	larQ lp_0101
YP_004888172.1	Probable fused nickel transport protein LarMN (Probable energy-coupling factor transporter substrate-capture protein LarMN) (ECF transporter S component LarMN)	larMN cbiM lp_0102
YP_004888173.1	Lactate racemization regulatory protein (Transcriptional activator LarR)	larR lp_0103
YP_004888174.1	Lactate racemase (Lar) (EC 5.1.2.1) (Lactate racemization operon protein LarA)	larA lp_0104
YP_004888175.1	Pyridinium-3,5-biscarboxylic acid mononucleotide synthase (P2CMN synthase) (EC 2.5.1.143) (Lactate racemase accessory protein LarB) (Lactate racemase activation protein LarB) (Lactate racemase maturation protein LarB) (Lactate racemization operon protein LarB) (Nickel-pincer cofactor biosynthesis protein LarB) (Nicotinic acid adenine dinucleotide carboxylase/hydrolase) (NaAD carboxylase/hydrolase)	larB lp_0105
YP_004888176.1	Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein (P2TMN nickel insertion protein) (EC 4.99.1.12) (Lactate racemase accessory protein LarC) (Lactate racemase activation protein LarC) (Lactate racemase maturation protein LarC) (Lactate racemization operon protein LarC) (Nickel-pincer cofactor biosynthesis protein LarC)	larC larC1/larC2 lp_0106/lp_0107
YP_004888177.1	Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein (P2TMN nickel insertion protein) (EC 4.99.1.12) (Lactate racemase accessory protein LarC) (Lactate racemase activation protein LarC) (Lactate racemase maturation protein LarC) (Lactate racemization operon protein LarC) (Nickel-pincer cofactor biosynthesis protein LarC)	larC larC1/larC2 lp_0106/lp_0107
YP_004888178.1	D/L-lactic acid transporter (Lactate racemization operon protein LarD) (Lactic acid channel)	larD glpF1 lp_0108
YP_004888179.1	Pyridinium-3,5-bisthiocarboxylic acid mononucleotide synthase (EC 4.4.1.37) (Lactate racemase accessory protein LarE) (Lactate racemase activation protein LarE) (Lactate racemase maturation protein LarE) (Lactate racemization operon protein LarE) (Nickel-pincer cofactor biosynthesis protein LarE) (Pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase) (P2CMN sulfurtransferase)	larE lp_0109
YP_004888180.1	Medium chain dehydrogenases/reductase (MDR)/zinc-dependent alcohol dehydrogenase-like family protein (EC 1.-.-.-)	lp_0111
YP_004888181.1	Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (TH kinase) (Thz kinase)	thiM lp_0113
YP_004888182.1	Phosphomethylpyrimidine kinase & hydroxymethylpyrimidine kinase (EC 2.7.1.49, EC 2.7.4.7)	thiD lp_0114
YP_004888183.1	Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase)	thiE lp_0115
YP_004888184.1	Hydroxymethylpyrimidine permease	thiP lp_0116
YP_004888185.1	Glutamine amidotransferase, class I (EC 2.4.2.-)	lp_0117
YP_004888186.1	DNA-binding protein with HIRAN domain	lp_0118
YP_004888187.1	NTP pyrophosphohydrolase (EC 3.6.1.-)	lp_0119
YP_004888188.1	Amino acid/polyamine transport protein, APC family	lp_0120
YP_004888189.1	tRNA_int_endo_N domain-containing protein	lp_0121
YP_004888190.1	Alpha-beta hydrolase superfamily (EC 1.11.1.-)	lp_0122
YP_004888191.1	Cation transporting P-type ATPase (EC 3.6.3.-)	pacL1 lp_0124
YP_004888192.1	Purine nucleoside phosphorylase (EC 2.4.2.1)	lp_0125
YP_004888193.1	Stress-responsive transcription regulator	lp_0126
YP_004888194.1	NADPH-dependent FMN reductase family protein (EC 1.-.-.-)	lp_0127
YP_004888195.1	Transcription regulator, MarR family	lp_0128
YP_004888196.1	Small heat shock protein	hsp1 lp_0129
YP_004888197.1	Two-component system sensor protein	lp_0130
YP_004888198.1	Two-component system response regulator	lp_0131
YP_004888199.1	Multidrug-efflux transporter, major facilitator superfamily (MFS)	lp_0132
YP_004888200.1	Transcription regulator, ArsR family	lp_0133
YP_004888201.1	Transport protein, major facilitator superfamily (MFS)	lp_0134
YP_004888202.1	2,5 diketo-D-gluconic acid-like reductase,NADP dependent, promiscuous (EC 1.1.1.-)	lp_0136
YP_004888203.1	Aldo/keto reductase family protein (EC 1.-.-.-)	lp_0137
YP_004888204.1	Nucleoside 2-deoxyribosyltransferase	lp_0138
YP_004888205.1	Linoleic acid isomerase (EC 5.2.1.5)	lai lp_0139
YP_004888206.1	Extracellular protein	lp_0141
YP_004888207.1	PcfJ-like protein	lp_0145
YP_004888208.1	NADH:flavin oxidoreductase/NADH oxidase (EC 1.-.-.-)	lp_0146
YP_004888209.1	Cobalt (Or cobalamine) ABC transporter,permease protein	lp_0148
YP_004888210.1	Putative ABC transporter ATP-binding protein lp_0149 (EC 7.-.-.-)	lp_0149
YP_004888211.1	UPF0397 protein lp_0150	lp_0150
YP_004888212.1	Transcription regulator, GntR family	lp_0152
YP_004888213.1	Transcription regulator, PadR family	lp_0154
YP_004888214.1	DUF2812 domain-containing protein	lp_0155
YP_004888215.1	Orphan protein membrane protein	lp_0156
YP_004888216.1	Alcohol dehydrogenase	lp_0158
YP_004888217.1	Short-chain dehydrogenase/oxidoreductase	lp_0159
YP_004888218.1	ABC transporter, ATP-binding protein	lp_0160
YP_004888219.1	ABC transporter, permease protein	lp_0161
YP_004888220.1	Transcription regulator, TetR family	lp_0162
YP_004888221.1	Acyl-CoA dehydrogenase domain protein	lp_0163
YP_004888222.1	Hypothetical membrane protein, DUF1393 family	lp_0164
YP_004888223.1	Transcription regulator, TetR family	lp_0165
YP_004888224.1	Dihydroxyacetone phosphotransferase,dihydroxyacetone binding sub-unit (EC 2.7.1.29)	dak1A lp_0166
YP_004888225.1	Dihydroxyacetone phosphotransferase,dihydroxyacetone binding subunit (EC 2.7.1.29)	dak1B lp_0168
YP_004888226.1	Dihydroxyacetone phosphotransferase,ADP-binding subunit (EC 2.7.1.29)	dak2 lp_0169
YP_004888227.1	Phosphoenolpyruvate--glycerone phosphotransferase (EC 2.7.1.121)	dak3 lp_0170
YP_004888228.1	Glycerol uptake facilitator protein 2	glpF2 dhaP lp_0171
YP_004888229.1	Transcription regulator, LacI family,maltose-related	lp_0172
YP_004888230.1	Transcription regulator, LacI family, maltose related	lp_0173
YP_004888231.1	Maltase/sucrase (EC 3.2.1.-)	malA1 lp_0174
YP_004888232.1	Maltodextrin-binding protein	mdxE lp_0175
YP_004888233.1	Maltodextrin ABC transporter, permease protein	mdxF lp_0176
YP_004888234.1	Maltodextrin ABC transporter, permease protein	mdxG lp_0177
YP_004888235.1	Maltodextrin ABC transporter, accessory protein	lp_0178
YP_004888236.1	Alpha-amylase, maltodextrins and cyclomaltodextrins (EC 3.2.1.1)	malS lp_0179
YP_004888237.1	Maltodextrin ABC transporter, ATP-binding protein	msmX lp_0180
YP_004888238.1	Maltose phosphorylase (EC 2.4.1.8)	mapB lp_0181
YP_004888239.1	Endo-beta-N-acetylglucosaminidase (EC 3.2.1.96)	lp_0182
YP_004888240.1	Hypothetical membrane protein	lp_0183
YP_004888241.1	Fructokinase (EC 2.7.1.4)	sacK1 lp_0184
YP_004888242.1	PTS system, oligosucrose-specific EIIBCA component	pts1BCA lp_0185
YP_004888243.1	Sucrose-6-phosphate hydrolase (EC 3.2.1.26) (Invertase)	scrB lp_0187
YP_004888244.1	Oligosucrose operon repressor	scrR lp_0188
YP_004888245.1	Raffinose-6-phosphate hydrolase & stachyose-6-phosphate hydrolase (EC 3.2.1.22)	lp_0189
YP_004888246.1	Medium chain dehydrogenases/reductase (MDR)/zinc-dependent alcohol dehydrogenase-like family protein (EC 1.-.-.-)	lp_0190
YP_004888247.1	Tyrosine-related transport protein, NHAC family	nha1 lp_0192
YP_004888248.1	Exo alfa-1,4-glucosidase or trehalase (EC 3.2.1.20, EC 3.2.1.28)	lp_0193
YP_004888249.1	Transcription regulator, LysR family	lp_0194
YP_004888250.1	Cell surface protein, LPXTG-motif cell wall anchor	lp_0197
YP_004888251.1	Transcription regulator, Xre family	lp_0199
YP_004888252.1	ABC transporter, substrate binding protein	lp_0200
YP_004888253.1	ABC transporter, substrate binding protein	lp_0201
YP_004888254.1	Acetyltransferase, GNAT family	lp_0202
YP_004888255.1	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.399) (EC 1.1.1.95) (2-oxoglutarate reductase)	serA lp_0203
YP_004888256.1	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	serC lp_0204
YP_004888257.1	Phosphoglycerate mutase family protein (EC 5.4.2.1)	pgm1 lp_0205
YP_004888258.1	Oxidoreductase, aldo/keto reductase family (EC 1.-.-.-)	lp_0206
YP_004888259.1	DUF2969 family protein	lp_0207
YP_004888260.1	DUF1801 domain-containing protein	lp_0208
YP_004888261.1	RNA-binding protein, DUF814 family	lp_0209
YP_004888262.1	Acetate kinase (EC 2.7.2.1) (Acetokinase)	ack1 ackA lp_0210
YP_004888263.1	Putative fluoride ion transporter CrcB 1	crcB1 lp_0213
YP_004888264.1	Putative fluoride ion transporter CrcB 2	crcB2 lp_0214
YP_004888265.1	ABC transporter, ATP-binding protein	lp_0215
YP_004888266.1	Transposase	ISP2_1 lp_0216
YP_004888267.1	ABC transporter, permease protein	lp_0217
YP_004888268.1	ABC transporter, ATP-binding protein	lp_0218
YP_004888269.1	ABC transporter, permease protein	lp_0219
YP_004888270.1	Glutathione peroxidase	gpo lp_0220
YP_004888271.1	2,5 diketo-D-gluconic acid-like reductase,NADP dependent (Promiscuous) (EC 1.1.1.-)	lp_0221
YP_004888272.1	Transcription elongation factor GreA 1 (Transcript cleavage factor GreA 1)	greA1 lp_0223
YP_004888273.1	Hypothetical membrane protein	lp_0224
YP_004888274.1	Transcription regulator, Cro/CI family	lp_0225
YP_004888275.1	Glucosamine-6-phosphate deaminase (EC 3.5.99.6) (GlcN6P deaminase) (GNPDA) (Glucosamine-6-phosphate isomerase)	nagB gnp lp_0226
YP_004888276.1	Dipeptidase (EC 3.4.-.-)	pepD1 lp_0228
YP_004888277.1	PTS system mannitol-specific EIICB component (EC 2.7.1.197) (EIICB-Mtl)	pts2CB lp_0230
YP_004888278.1	Transcription regulator, BglG family, mannitol operon	mtlR lp_0231
YP_004888279.1	PTS system, mannitol-specific EIIA component (EC 2.7.1.69)	pts2A lp_0232
YP_004888280.1	Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	mtlD lp_0233
YP_004888281.1	HTH merR-type domain-containing protein	lp_0235
YP_004888282.1	Thioredoxin	trxA1 lp_0236
YP_004888283.1	Hypothetical membrane protein	lp_0237
YP_004888284.1	T2SSC domain-containing protein	lp_0239
YP_004888285.1	TH1 domain-containing protein	lp_0240
YP_004888286.1	Nucleoside-diphosphate kinase (EC 2.7.4.6)	ndk lp_0242
YP_004888287.1	DUF2252 domain-containing protein	lp_0243
YP_004888288.1	NADPH-dependent FMN reductase family protein (EC 1.-.-.-)	lp_0244
YP_004888289.1	Transcription regulator, GntR family	lp_0245
YP_004888290.1	Permease IIC component	pts3C lp_0247
YP_004888291.1	DUF2516 family protein	lp_0248
YP_004888292.1	PTS-associated protein	lp_0249
YP_004888293.1	Metallo-dependent hydrolase, subgroup B	lp_0250
YP_004888294.1	L-seryl-tRNA(Sec) selenium transferase-related protein, pyridoxal phosphate-dependent	lp_0251
YP_004888295.1	2-dehydro-3-deoxyphosphooctonate aldolase	lp_0252
YP_004888296.1	2-keto-3-deoxygluconate kinase (EC 2.7.1.45)	kdgK lp_0253
YP_004888297.1	Serine acetyltransferase (EC 2.3.1.30)	cysE lp_0254
YP_004888298.1	Cystathionine beta-lyase / cystathionine gamma-lyase (EC 4.4.1.1, EC 4.4.1.8)	cblB lp_0255
YP_004888299.1	Cystathionine beta-synthase (EC 4.2.1.22)	cbs lp_0256
YP_004888300.1	Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M)	pepM map lp_0257
YP_004888301.1	Nicotinamide mononucleotide transporter	pnuC1 lp_0259
YP_004888302.1	DUF2089 family protein	lp_0260
YP_004888303.1	Hypothetical membrane protein	lp_0261
YP_004888304.1	Trehalose operon transcriptional repressor,GntR family	treR lp_0262
YP_004888305.1	Trehalose-6-phosphate hydrolase (EC 3.2.1.93)	treA lp_0263
YP_004888306.1	PTS system, trehalose-specific IIBC component (EC 2.7.1.69)	pts4ABC lp_0264
YP_004888307.1	PTS system, trehalose-specific IIBC component (EC 2.7.1.69)	pts5ABC lp_0265
YP_004888308.1	DUF4123 domain-containing protein	lp_0266
YP_004888309.1	Glycerol-3-phosphate cytidylyltransferase (EC 2.7.7.39)	tagD1 lp_0267
YP_004888310.1	CDP-glycerol glycerophosphotransferase (EC 2.7.8.12)	tagF1 lp_0268
YP_004888311.1	CDP-glycerol glycerophosphotransferase / glycosyltransferase (EC 2.4.1.-, EC 2.7.8.12)	tagF2 lp_0269
YP_004888312.1	Flavin prenyltransferase LpdB (EC 2.5.1.129) (Gallate decarboxylase subunit B)	lpdB lp_0271
YP_004888313.1	Protein LpdD (Gallate decarboxylase subunit D)	lpdD lp_0272
YP_004888314.1	Transcription regulator, Rrf2 family	lp_0273
YP_004888315.1	Transcription regulator, TetR family	lp_0274
YP_004888316.1	Divalent metal cation transporter MntH	mntH mntH1 lp_0275
YP_004888317.1	AMP-binding domain-containing protein	lp_0276
YP_004888318.1	Extracellular protein	lp_0277
YP_004888319.1	PBP5_C domain-containing protein	lp_0279
YP_004888320.1	Transport protein, major facilitator superfamily (MFS)	lp_0280
YP_004888321.1	Transcription regulator, MerR family	lp_0281
YP_004888322.1	Histidine kinase (EC 2.7.13.3)	hpk2 lp_0282
YP_004888323.1	Two-component system response regulator	rrp2 lp_0283
YP_004888324.1	Transglycosylase	lp_0284
YP_004888325.1	Transcription regulator, RpiR family	lp_0285
YP_004888326.1	Permease IIC component	pts6C lp_0286
YP_004888327.1	Antibiotic biosynthesis monooxygenase	lp_0287
YP_004888328.1	Curli production assembly/transport component CsgE	lp_0289
YP_004888329.1	Transcriptional attenuator, cell envelope-related, LytR family	lp_0290
YP_004888330.1	Glycolate dehydrogenase, subunit GlcD,FAD-binding (EC 1.1.3.15)	glcD lp_0291
YP_004888331.1	Plasmid pRiA4b ORF-3 family protein	lp_0292
YP_004888332.1	GTP pyrophosphokinase (EC 2.7.6.5)	lp_0293
YP_004888333.1	Transcription regulator, TetR family	lp_0294
YP_004888334.1	Transport protein, MMPL family	lp_0295
YP_004888335.1	DNA-3-methyladenine glycosylase I (EC 3.2.2.20)	tag1 lp_0296
YP_004888336.1	Extracellular protein, CscC family	lp_0297
YP_004888337.1	ABC transporter, permease protein	lp_0298
YP_004888338.1	ABC transporter, ATP-binding protein	lp_0299
YP_004888339.1	Membrane-bound protease, CAAX family	lp_0300
YP_004888340.1	Membrane-bound protease, CAAX family	lp_0301
YP_004888341.1	Extracellular transglycosylase	lp_0302
YP_004888342.1	Extracellular transglycosylase	lp_0304
YP_004888343.1	Glycine cleavage system, H protein	gcsH1 lp_0305
YP_004888344.1	Sce7725 family protein	lp_0306
YP_004888345.1	DUF2887 domain-containing protein	lp_0307
YP_004888346.1	DNA helicase	lp_0308
YP_004888347.1	Hypothetical membrane protein	lp_0309
YP_004888348.1	Acetate kinase (EC 2.7.2.1) (Acetokinase)	ack2 ackA lp_0310
YP_004888349.1	Acetyltransferase, GNAT family	lp_0311
YP_004888350.1	Transcription regulator, MarR family	lp_0312
YP_004888351.1	NADH dehydrogenase (EC 1.6.99.3)	ndh1 lp_0313
YP_004888352.1	Hypothetical membrane protein	lp_0314
YP_004888353.1	Spermidine/putrescine ABC transporter,substrate binding protein	potD lp_0315
YP_004888354.1	Spermidine/putrescine ABC transporter, permease protein	potC lp_0316
YP_004888355.1	Spermidine/putrescine ABC transporter, permease protein	potB lp_0317
YP_004888356.1	Spermidine/putrescine import ATP-binding protein PotA (EC 7.6.2.11)	potA lp_0318
YP_004888357.1	Transcription regulator, spermidine/putrescine transport operon	lp_0319
YP_004888358.1	ASCH domain-containing protein	lp_0320
YP_004888359.1	Acetyltransferase, GNAT family	lp_0321
YP_004888360.1	Acetyltransferase, GNAT family	lp_0322
YP_004888361.1	Arsenical-resistance protein	lp_0324
YP_004888362.1	Acetoin transport repressor, GntR family	lp_0325
YP_004888363.1	Acetoin ABC transporter, ATP-binding protein	lp_0326
YP_004888364.1	Acetoin ABC transporter, permease protein	lp_0327
YP_004888365.1	Acetaldehyde dehydrogenase (EC 1.2.1.10)	acdH lp_0329
YP_004888366.1	Fructose-bisphosphate aldolase (EC 4.1.2.13)	fba lp_0330
YP_004888367.1	Carbohydrate (Isoprimoverose like)/proton symporter, GPH family	xylP1 lp_0331
YP_004888368.1	Hypothetical membrane protein	lp_0332
YP_004888369.1	NfeD domain-containing protein	lp_0333
YP_004888370.1	Dipeptidase (EC 3.4.-.-)	pepD2 lp_0334
YP_004888371.1	Transposase	lp_0335
YP_004888372.1	Biotin transporter	lp_0336
YP_004888373.1	Bifunctional ligase/repressor BirA (Biotin--[acetyl-CoA-carboxylase] ligase) (EC 6.3.4.15) (Biotin--protein ligase) (Biotin-[acetyl-CoA carboxylase] synthetase)	birA1 birA lp_0337
YP_004888374.1	CHY zinc finger family protein	lp_0338
YP_004888375.1	LL-diaminopimelate aminotransferase, AAT family, PLP-dependent (EC 2.6.1.-)	dapC lp_0339
YP_004888376.1	CubicO group peptidase, beta-lactamase class C family	lp_0340
YP_004888377.1	Transport permease protein	tagG lp_0343
YP_004888378.1	Teichoic acids export ATP-binding protein TagH (EC 7.5.2.4)	tagH lp_0344
YP_004888379.1	Hypothetical membrane protein	lp_0346
YP_004888380.1	Transcription regulator, PadR family	lp_0347
YP_004888381.1	Multidrug-efflux transporter, major facilitator superfamily (MFS), EmrB family	lp_0348
YP_004888382.1	Ammonium transporter	amtB lp_0349
YP_004888383.1	L-2-hydroxyisocaproate dehydrogenase (EC 1.1.1.-)	hicD1 lp_0350
YP_004888384.1	Hypothetical membrane protein	lp_0351
YP_004888385.1	Extracellular zinc metalloproteinase, M10 family (EC 3.4.24.-)	zmp1 lp_0353
YP_004888386.1	Ribose-5-phosphate isomerase (EC 5.3.1.6)	rpiA2 lp_0354
YP_004888387.1	Multicopper oxidase	lp_0355
YP_004888388.1	Hypothetical membrane protein, DUF1304 family	lp_0357
YP_004888389.1	Phospholipid-binding protein	lp_0358
YP_004888390.1	AAA domain-containing protein	lp_0359
YP_004888391.1	Transcription regulator, Rrf2 family	lp_0360
YP_004888392.1	DUF3800 domain-containing protein	lp_0361
YP_004888393.1	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	accB3 lp_0362
YP_004888394.1	Purine nucleosidase (EC 3.2.2.1)	lp_0363
YP_004888395.1	Short-chain dehydrogenase/oxidoreductase	lp_0364
YP_004888396.1	Hypothetical membrane protein	lp_0365
YP_004888397.1	Ribonuclease H-like protein	lp_0366
YP_004888398.1	Glycine betaine/carnitine/choline ABC transporter, substrate binding and permease protein	choS lp_0367
YP_004888399.1	Glycine betaine/carnitine/choline ABC transporter, ATP-binding protein	choQ lp_0368
YP_004888400.1	Glutathione reductase (EC 1.8.1.7)	gshR1 lp_0369
YP_004888401.1	Glycerol kinase 1 (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 1) (Glycerokinase 1) (GK 1)	glpK1 lp_0370
YP_004888402.1	Alpha-glycerophosphate oxidase (EC 1.1.3.21) (Glycerol-3-phosphate oxidase)	glpD lp_0371
YP_004888403.1	Glycerol uptake facilitator protein 3	glpF3 lp_0372
YP_004888404.1	Cell surface protein, LPXTG-motif cell wall anchor	lp_0373
YP_004888405.1	Extracellular protein, lysine-rich	lp_0374
YP_004888406.1	DUF1934 domain-containing protein	lp_0375
YP_004888407.1	Hypothetical membrane protein	lp_0376
YP_004888408.1	Hypothetical membrane protein	lp_0377
YP_004888409.1	Orphan protein	lp_0379
YP_004888410.1	Ankyrin repeat family protein	lp_0381
YP_004888411.1	Hypothetical membrane protein	lp_0382
YP_004888412.1	Hypothetical membrane protein	lp_0383
YP_004888413.1	DUSP domain-containing protein	lp_0384
YP_004888414.1	DUF2513 domain-containing protein	lp_0385
YP_008479735.1	NA	NA
YP_004888416.1	Imm63 domain-containing protein	lp_0388
YP_004888417.1	Hypothetical membrane protein	lp_0391
YP_004888418.1	Acetyltransferase (EC 2.3.1.-)	thgA1 lp_0393
YP_004888419.1	Transport protein, major facilitator superfamily (MFS)	lp_0394
YP_004888420.1	Hydrolase, HAD superfamily, Cof family	lp_0395
YP_004888421.1	Transcription regulator, AraC family	lp_0396
YP_004888422.1	Hydrolase, HAD superfamily, Cof family	lp_0397
YP_004888423.1	Branched-chain amino acid transport system carrier protein	valT lp_0399
YP_004888424.1	Na(+)/H(+) antiporter	napA1 lp_0400
YP_004888425.1	Aldose 1-epimerase	lp_0402
YP_004888426.1	Plantaricin biosynthesis protein PlnR	plnR lp_0403
YP_004888427.1	Bacteriocin immunity protein PlnL	plnL lp_0404
YP_004888428.1	Bacteriocin peptide PlnK	plnK lp_0405
